epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
1,24.92650604248047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,19.32849884033203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,15.125130653381348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.490625,0.5
7,nan,nan,0.996875,0.0,1.0,0.0,0.484375,0.5,0.496875,0.5
8,nan,nan,1.0,0.0,1.0,0.0,0.475,0.5,0.50625,0.5
9,nan,nan,1.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5
10,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
11,nan,nan,1.0,0.0,1.0,0.0,0.5,0.5,0.50625,0.5
12,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.5,0.5
13,nan,nan,1.0,0.0,1.0,0.0,0.484375,0.5,0.5,0.5
14,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.4875,0.5
15,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.496875,0.5
16,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5,0.5
17,nan,nan,1.0,0.0,1.0,0.0,0.490625,0.5,0.503125,0.5
18,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.5,0.5
19,nan,nan,1.0,0.0,1.0,0.0,0.421875,0.5,0.5,0.5
20,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.490625,0.5
21,nan,nan,1.0,0.0,1.0,0.0,0.428125,0.5,0.503125,0.5
22,nan,nan,1.0,0.0,0.996875,0.0,0.478125,0.5,0.50625,0.5
23,nan,nan,1.0,0.0,1.0,0.0,0.446875,0.5,0.503125,0.5
24,nan,nan,1.0,0.0,1.0,0.0,0.478125,0.5,0.50625,0.5
25,nan,nan,1.0,0.0,1.0,0.0,0.4375,0.5,0.496875,0.5
26,nan,nan,1.0,0.0,1.0,0.0,0.5125,0.5,0.49375,0.5
27,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.503125,0.5
28,nan,nan,1.0,0.0,1.0,0.0,0.4625,0.5,0.503125,0.5
29,nan,nan,1.0,0.0,1.0,0.0,0.509375,0.5,0.496875,0.5
30,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.5,0.5
31,nan,nan,1.0,0.0,1.0,0.0,0.515625,0.5,0.503125,0.5
32,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.496875,0.5
33,nan,nan,1.0,0.0,1.0,0.0,0.50625,0.5,0.496875,0.5
34,nan,nan,1.0,0.0,1.0,0.0,0.446875,0.5,0.5,0.5
35,nan,nan,1.0,0.0,1.0,0.0,0.53125,0.5,0.5,0.5
36,nan,nan,1.0,0.0,1.0,0.0,0.484375,0.5,0.49375,0.5
37,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.5,0.5
38,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.49375,0.5
39,nan,nan,1.0,0.0,1.0,0.0,0.50625,0.5,0.496875,0.5
40,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.503125,0.5
41,nan,nan,1.0,0.0,1.0,0.0,0.43125,0.5,0.496875,0.5
42,nan,nan,1.0,0.0,1.0,0.0,0.50625,0.5,0.496875,0.5
43,nan,nan,1.0,0.0,1.0,0.0,0.509375,0.5,0.503125,0.5
44,nan,nan,1.0,0.0,1.0,0.0,0.50625,0.5,0.50625,0.5
45,nan,nan,1.0,0.0,1.0,0.0,0.5125,0.5,0.50625,0.5
46,nan,nan,1.0,0.0,1.0,0.0,0.45625,0.5,0.490625,0.5
47,nan,nan,1.0,0.0,1.0,0.0,0.5125,0.5,0.503125,0.5
48,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.5,0.5
49,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.496875,0.5
50,nan,nan,1.0,0.0,1.0,0.0,0.41875,0.5,0.496875,0.5
51,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.503125,0.5
52,nan,nan,1.0,0.0,1.0,0.0,0.484375,0.5,0.5,0.5
53,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5,0.5
54,nan,nan,1.0,0.0,1.0,0.0,0.484375,0.5,0.5,0.5
55,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.5,0.5
56,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.50625,0.5
57,nan,nan,1.0,0.0,1.0,0.0,0.425,0.5,0.49375,0.5
58,nan,nan,1.0,0.0,1.0,0.0,0.4625,0.5,0.5,0.5
59,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.50625,0.5
60,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5,0.5
61,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.50625,0.5
62,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
63,nan,nan,1.0,0.0,1.0,0.0,0.484375,0.5,0.49375,0.5
64,nan,nan,1.0,0.0,1.0,0.0,0.478125,0.5,0.503125,0.5
65,nan,nan,1.0,0.0,1.0,0.0,0.50625,0.5,0.5,0.5
66,nan,nan,1.0,0.0,1.0,0.0,0.44375,0.5,0.5,0.5
67,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
68,nan,nan,1.0,0.0,1.0,0.0,0.46875,0.5,0.496875,0.5
69,nan,nan,1.0,0.0,1.0,0.0,0.490625,0.5,0.496875,0.5
70,nan,nan,1.0,0.0,1.0,0.0,0.475,0.5,0.5,0.5
71,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
72,nan,nan,1.0,0.0,1.0,0.0,0.484375,0.5,0.496875,0.5
73,nan,nan,1.0,0.0,1.0,0.0,0.45625,0.5,0.49375,0.5
74,nan,nan,1.0,0.0,1.0,0.0,0.428125,0.5,0.5,0.5
75,nan,nan,1.0,0.0,0.996875,0.0,0.471875,0.5,0.49375,0.5
76,nan,nan,1.0,0.0,0.996875,0.0,0.459375,0.5,0.5,0.5
77,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.50625,0.5
78,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.50625,0.5
79,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.49375,0.5
80,nan,nan,0.996875,0.0,1.0,0.0,0.5,0.5,0.49375,0.5
81,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.509375,0.5
82,nan,nan,1.0,0.0,1.0,0.0,0.453125,0.5,0.496875,0.5
83,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.50625,0.5
84,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.49375,0.5
85,nan,nan,1.0,0.0,1.0,0.0,0.46875,0.5,0.503125,0.5
86,nan,nan,1.0,0.0,1.0,0.0,0.45625,0.5,0.496875,0.5
87,nan,nan,1.0,0.0,1.0,0.0,0.440625,0.5,0.503125,0.5
88,nan,nan,1.0,0.0,1.0,0.0,0.490625,0.5,0.49375,0.5
89,nan,nan,1.0,0.0,1.0,0.0,0.521875,0.5,0.49375,0.5
90,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.50625,0.5
91,nan,nan,1.0,0.0,1.0,0.0,0.425,0.5,0.503125,0.5
92,nan,nan,1.0,0.0,1.0,0.0,0.4375,0.5,0.503125,0.5
93,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.490625,0.5
94,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.496875,0.5
95,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.503125,0.5
96,nan,nan,1.0,0.0,1.0,0.0,0.446875,0.5,0.503125,0.5
97,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5,0.5
98,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.5,0.5
99,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.49375,0.5
100,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.49375,0.5
101,nan,nan,1.0,0.0,1.0,0.0,0.440625,0.5,0.496875,0.5
102,nan,nan,1.0,0.0,1.0,0.0,0.425,0.5,0.490625,0.5
103,nan,nan,1.0,0.0,1.0,0.0,0.509375,0.5,0.503125,0.5
104,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.509375,0.5
105,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.50625,0.5
106,nan,nan,1.0,0.0,1.0,0.0,0.44375,0.5,0.496875,0.5
107,nan,nan,1.0,0.0,1.0,0.0,0.425,0.5,0.50625,0.5
108,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.49375,0.5
109,nan,nan,1.0,0.0,0.996875,0.0,0.478125,0.5,0.503125,0.5
110,nan,nan,1.0,0.0,1.0,0.0,0.453125,0.5,0.503125,0.5
111,nan,nan,1.0,0.0,1.0,0.0,0.50625,0.5,0.503125,0.5
112,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.50625,0.5
113,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.503125,0.5
114,nan,nan,1.0,0.0,1.0,0.0,0.440625,0.5,0.49375,0.5
115,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.490625,0.5
116,nan,nan,1.0,0.0,1.0,0.0,0.509375,0.5,0.5,0.5
117,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.50625,0.5
118,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.5,0.5
119,nan,nan,1.0,0.0,1.0,0.0,0.453125,0.5,0.503125,0.5
120,nan,nan,1.0,0.0,1.0,0.0,0.45625,0.5,0.50625,0.5
121,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
122,nan,nan,1.0,0.0,1.0,0.0,0.490625,0.5,0.5,0.5
123,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.484375,0.5
124,nan,nan,1.0,0.0,1.0,0.0,0.46875,0.5,0.5,0.5
125,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.50625,0.5
126,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.503125,0.5
127,nan,nan,1.0,0.0,1.0,0.0,0.46875,0.5,0.49375,0.5
128,nan,nan,1.0,0.0,1.0,0.0,0.453125,0.5,0.50625,0.5
129,nan,nan,1.0,0.0,1.0,0.0,0.46875,0.5,0.503125,0.5
130,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.5,0.5
131,nan,nan,1.0,0.0,1.0,0.0,0.459375,0.5,0.496875,0.5
132,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5,0.5
133,nan,nan,1.0,0.0,1.0,0.0,0.453125,0.5,0.49375,0.5
134,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5125,0.5
135,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.50625,0.5
136,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
137,nan,nan,1.0,0.0,1.0,0.0,0.490625,0.5,0.496875,0.5
138,nan,nan,1.0,0.0,1.0,0.0,0.46875,0.5,0.50625,0.5
139,nan,nan,1.0,0.0,1.0,0.0,0.475,0.5,0.49375,0.5
140,nan,nan,1.0,0.0,1.0,0.0,0.478125,0.5,0.496875,0.5
141,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.496875,0.5
142,nan,nan,1.0,0.0,1.0,0.0,0.53125,0.5,0.496875,0.5
143,nan,nan,1.0,0.0,1.0,0.0,0.515625,0.5,0.503125,0.5
144,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.50625,0.5
145,nan,nan,1.0,0.0,1.0,0.0,0.51875,0.5,0.496875,0.5
146,nan,nan,1.0,0.0,1.0,0.0,0.440625,0.5,0.50625,0.5
147,nan,nan,1.0,0.0,1.0,0.0,0.478125,0.5,0.5,0.5
148,nan,nan,0.996875,0.0,1.0,0.0,0.45625,0.5,0.503125,0.5
149,nan,nan,1.0,0.0,0.996875,0.0,0.4875,0.5,0.4875,0.5
150,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.503125,0.5
151,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.50625,0.5
152,nan,nan,1.0,0.0,1.0,0.0,0.515625,0.5,0.50625,0.5
153,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.503125,0.5
154,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.5125,0.5
155,nan,nan,1.0,0.0,1.0,0.0,0.4875,0.5,0.496875,0.5
156,nan,nan,1.0,0.0,0.996875,0.0,0.50625,0.5,0.496875,0.5
157,nan,nan,1.0,0.0,1.0,0.0,0.478125,0.5,0.496875,0.5
158,nan,nan,1.0,0.0,1.0,0.0,0.45625,0.5,0.5,0.5
159,nan,nan,1.0,0.0,1.0,0.0,0.49375,0.5,0.496875,0.5
160,nan,nan,1.0,0.0,1.0,0.0,0.4625,0.5,0.49375,0.5
161,nan,nan,1.0,0.0,1.0,0.0,0.45,0.5,0.496875,0.5
162,nan,nan,1.0,0.0,1.0,0.0,0.471875,0.5,0.5,0.5
163,nan,nan,1.0,0.0,1.0,0.0,0.496875,0.5,0.503125,0.5
164,nan,nan,1.0,0.0,0.996875,0.0,0.446875,0.5,0.5,0.5
165,nan,nan,1.0,0.0,1.0,0.0,0.465625,0.5,0.5,0.5
166,nan,nan,1.0,0.0,1.0,0.0,0.509375,0.5,0.5,0.5
167,nan,nan,1.0,0.0,1.0,0.0,0.446875,0.5,0.49375,0.5
168,nan,nan,1.0,0.0,1.0,0.0,0.48125,0.5,0.5,0.5
169,nan,nan,1.0,0.0,1.0,0.0,0.44375,0.5,0.496875,0.5
