index,timestamp,latency__desc,originaltimestamp,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
12220,1752250061.0738,95.26022505760191,1752250061.210804,93.0,0.0,-0.9213388402494872,-0.2147201196335941,-4.6832436420951895,4.799411112875116,1.723993129827764,-1.2700209523153283,2.4545552889707567,-3.100904689618884,-12.826241938722504,-8.724370678126856,1.50426620912194,3.8360672487958736,4.474708328098845,-0.1758300261031677,2888.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12221,1752250061.081605,95.2680299282074,1752250061.218708,94.0,0.0,-4.653482594124391,1.7310925840414555,-2.9238144176847314,9.512732572721385,5.469147932838446,7.473942198297482,-0.1285217451816258,0.5121283581861533,-13.358698230972127,-12.21362193492194,-1.3893844181289623,0.6204128721305224,5.17424993869782,-3.596163172060635,3422.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12222,1752250061.089409,95.27583408355711,1752250061.2265131,95.0,0.0,-3.9094969912005535,-0.4918315476560755,0.4238142932004729,3.333580406480526,-1.7907068143374252,-0.4857562899073775,-4.674821225807018,4.657875453057856,4.2303844886592765,-5.973843796321815,5.617421314404482,-0.3408029109481978,3.261199854368628,-6.659245286990923,3448.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12223,1752250061.097213,95.28363800048828,1752250061.234417,96.0,0.0,1.3250066722644716,1.0535169002857925,3.014957936486134,1.813030314944864,0.4015331725535629,-3.660094221081273,0.4606394612503786,-4.615479342040196,-2.538146025794699,-11.227553823207636,8.163663316498855,1.3100715581627396,-0.221401439335118,-1.7912202993871278,3451.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.3289373815059662,0.65277099609375,-0.27716064453125,0.62359619140625,0.993667483329773,-0.2431677728891372,-0.1069352254271507,-50.69352340698242,-128.60304260253906,-7.925536155700684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12224,1752250061.105018,95.29144287109376,1752250061.242221,97.0,0.0,0.989874425707164,-5.821332875315484,0.2436101987793932,-0.0714066227391869,8.018175436070486,10.095485870041587,8.844558090282185,-13.29316285123219,-13.763459750852377,-14.221931881631017,0.5459340461286573,-0.632372233726052,3.052415974484454,1.6932770866810571,2888.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12225,1752250061.112822,95.29924702644348,1752250061.250126,98.0,0.0,-0.8751409883521877,-9.13837537650487,0.2151551970254086,0.5367119556708326,6.277007616021789,13.44240537831998,6.159650774362953,-7.736075227563207,-0.7917431941027839,-5.303536105370016,3.126943932629038,-3.770510018041465,3.157239200495054,-1.5986560853238974,3422.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12226,1752250061.120627,95.30705189704896,1752250061.25793,99.0,0.0,2.777220131706445,2.456713833496411,3.380641413015435,9.48029701746903,-0.0049539249722529,-0.1338286185304449,-3.992611270878292,-2.714885633857972,2.676012568337433,-5.648521641061604,3.3918243966970065,-4.688661632196085,-6.051962560219562,-1.06366708530133,3448.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12227,1752250061.128431,95.31485605239868,1752250061.265834,100.0,0.0,5.355561324927028,7.65465132701117,5.124504534065051,12.584556288070589,1.6091049977328753,-1.2138977662613746,-2.339850582910686,-1.4168770696847828,-5.322372302891533,-7.746061951346898,-4.270656450978872,-2.8478889868892407,-5.2116218429530745,5.984033732736255,3451.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.3298338055610657,0.65264892578125,-0.27679443359375,0.6234130859375,0.9780422449111938,-0.2285191118717193,-0.1176775768399238,-49.945831298828125,-126.80857849121094,-9.71999740600586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12228,1752250061.136235,95.32265996932983,1752250061.273639,101.0,0.0,1.31724558582918,-1.53115504609362,0.9208889804920974,1.5200093266005532,-0.8345916832020248,2.575989541925377,1.3609246378977595,0.9314371744494953,-1.828901373115333,-4.689307968176724,-4.870039776315206,-2.589158814544707,-0.3358482762575545,4.255803824007369,2888.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12229,1752250061.14404,95.33046507835388,1752250061.281543,102.0,0.0,3.9712584089529823,-0.9605232805379648,2.417950136506376,-0.3762025358694103,-7.74362568743164,-9.738959608572616,-4.485266431245801,6.374925249200734,0.927269112227206,-1.6870583299356472,-2.184789796376821,-0.3023108855839016,2.165665579570165,2.6222287754623235,3422.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12230,1752250061.151844,95.33826899528503,1752250061.2893472,103.0,0.0,6.902607002929524,3.403564857481679,7.335044081722162,11.64445435918478,-7.458047306617989,-17.452221222178423,-6.733068199190552,7.394742210792681,-9.898848906920126,-3.7639748109431865,-3.2664063512363173,-1.668864002624109,-0.2410639491678852,5.367205452750848,3448.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12231,1752250061.159649,95.3460738658905,1752250061.2972522,104.0,0.0,1.5725503738542952,0.8051433397591095,5.274996086823467,15.808157774016143,-2.639200724163462,-5.890165674536803,2.2751010359414434,8.836842050872445,-1.8611182177943344,-0.0787277978922875,-1.0475467160890193,-2.1091001769404047,-5.302079564959588,0.4436981591611979,3451.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.329155832529068,0.65277099609375,-0.27703857421875,0.62353515625,0.9882963299751282,-0.2294956892728805,-0.113771267235279,-49.64675521850586,-128.60304260253906,-8.972305297851562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
