index,timestamp,latency__desc,originaltimestamp,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
1614,1752179216.740861,12.476861000061035,1752179216.7938092,99.0,0.0,-3.644327270853649,5.348537544978607,-3.22468501011908,-3.14041912744849,4.153261675850652,9.114115513525045,7.359635853745198,5.183243946439839,-2.7024401896598724,-1.523134523958523,4.476710451852137,-3.222537222956665,-7.72393679792477,-6.304522818151687,3297.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,1752179216.748663,12.484663009643556,1752179216.8015132,100.0,0.0,-6.1264174304510135,1.2653461501761218,-3.2821341788355123,-9.293302418101923,6.866710768118132,9.441090258572835,5.001631530176759,7.171538509227041,0.3122701169119684,3.972653830769183,3.3772635512409512,-7.306906903180966,-6.093260806139206,-4.553770194300267,3377.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.4268255233764648,0.68499755859375,-0.19598388671875,0.55694580078125,0.9653467535972596,0.2690470814704895,-0.0947280079126358,-50.543983459472656,-107.36858367919922,-10.617227554321287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,1752179216.756466,12.49246597290039,1752179216.809418,101.0,0.0,-2.7713082918913194,2.5506335695198,-0.5004455991623225,-2.870863740351105,8.30058713117155,7.4841570054472975,-0.566578613946934,0.9798912459879824,-3.677252931016472,-2.6373490033003897,-0.1751152107602571,-4.309791453870719,3.1202719035534408,3.16314846576115,2703.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,1752179216.764269,12.500269174575806,1752179216.817222,102.0,0.0,-3.501603468725109,3.3533082256682136,-0.9497839659952532,6.461630833920131,2.6422694384221885,2.67038774654405,-0.2438017070184215,-1.1188162243976063,-1.7481780192694187,-1.8683609124349103,0.1409503418572328,-3.0202007182106327,10.943603668815724,-1.3930276101427714,3325.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,1752179216.772072,12.508072137832642,1752179216.825027,103.0,0.0,-8.834508017151695,-2.6928323476762337,-2.210661133763299,1.2464119943334817,-2.400143661832136,-2.8180851116448373,2.3090184343438658,6.901036898767966,6.822659355917335,3.890327929605004,2.675963896634155,-6.092573980363046,6.096405526129228,-9.941124363695629,3297.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,1752179216.779875,12.515875101089478,1752179216.832732,104.0,0.0,-8.705665712503686,-0.0446411368967489,-0.5942358777682757,-4.010473613280341,1.4778224106052646,-1.878446152463872,0.5205464290024167,9.050542073702257,10.1538820187102,4.687753857387856,2.614267043579668,-4.300494707237808,1.9151608972218888,-4.6804590271973385,3377.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.4267458915710449,0.68499755859375,-0.19598388671875,0.5570068359375,0.9663233160972596,0.2680704891681671,-0.0781261920928955,-52.33844375610352,-106.77043151855467,-11.215380668640137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1620,1752179216.787678,12.523678064346312,1752179216.840636,105.0,0.0,-3.417243764156952,0.3300174230397115,-0.8437839000789271,1.446145098435048,-3.1716561135303696,3.0282302986711525,-0.3980914286958583,-0.9780280260889443,2.2020532814749654,4.835187004438472,-2.524526990400455,-1.0924094362151011,5.278630451340197,-0.6659030118708937,2703.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1621,1752179216.795481,12.53148102760315,1752179216.8484411,106.0,0.0,1.0915243516796211,-11.60965621280273,-3.24562514527636,4.699284363860987,-10.35963182331606,3.295557241775403,2.7271794338366435,-3.060043152254262,0.6984720297485483,7.0182611005555815,-1.5668453553482309,0.7988315204012979,2.556506317212741,-3.28010039455702,3325.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1622,1752179216.803284,12.539283990859984,1752179216.856246,107.0,0.0,-0.7180326687283873,-11.066507211565405,-2.5520596382610954,-3.5232099334215654,-0.887525216704713,-1.8729921197864847,2.4115766468586664,1.916084852672558,9.441873123422573,4.241763570020741,2.8704893900365,-0.0639991914832158,0.5292146124348314,-1.3143269152632548,3297.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,1752179216.811087,12.54708695411682,1752179216.86395,108.0,0.0,-1.890387666185383,2.1030260837279897,1.7996556214789263,-4.205068594125798,6.193882654653258,-6.810720654476576,-3.7214564987935503,-1.9127792763796727,3.625035823249924,-0.9820379485007392,-1.1226619715384132,-1.6198506658526313,6.98116625799738,5.077071012750022,3377.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.6395246386528015,0.47509765625,-0.53125,0.2882080078125,0.9624170064926147,0.2851606011390686,-0.0917982757091522,-53.23567581176758,-107.36858367919922,-12.112611770629885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
