Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.02923763947059863,1.408471210282384e-114,6.337947955622065e-08,9.209003463596544e-37,0.945582961388155,9.272128707549186e-126
eeg.f7,0.04898512451988199,1.1934900902795475e-88,0.35911219276219875,1.203978943631161e-68,0.07563603633393229,1.5438486608650367e-93
eeg.f3,0.040920048741745145,2.0170193776855656e-105,3.1672634986372986e-40,7.86458896960586e-127,2.9230864497253656e-84,1.5060171057623404e-69
eeg.fc5,2.1887770387004495e-11,0.00010678683223553898,0.0034026820435161856,1.1509519239235683e-68,2.9796652862853907e-60,0.00877104610904057
eeg.t7,0.047419301397186725,2.0984515182181826e-124,1.5254769237229669e-50,1.9130190020063043e-131,1.771050346615158e-117,3.873800281917179e-80
eeg.p7,0.2906243747295186,6.181517810715256e-131,7.166868635988372e-96,5.458990019990741e-117,1.1492176326346778e-68,3.8741631298971437e-54
eeg.o1,0.9879129461574758,1.4592609838740598e-100,0.00871468633381115,7.417892106205123e-131,4.8520162299143976e-05,1.466563166882416e-108
eeg.o2,0.15119406239544989,1.9853988615734e-105,8.161728544420598e-155,4.365482790710993e-135,2.991198542453703e-178,1.358802709851605e-50
eeg.p8,0.024182699895309606,1.0031684848646188e-09,1.0622601261088138e-10,3.923282900900191e-66,4.029422314927134e-70,0.210775281245975
eeg.t8,0.6045571784854461,5.7768209139413274e-136,2.1550298218820247e-106,1.8262654682960697e-137,1.0324576291965153e-131,1.0931402062947458e-48
eeg.fc6,5.8508128998077435e-08,4.443327803407242e-112,1.1566549154235063e-154,1.241544588134711e-125,1.7318641356237758e-151,2.3237571895147912e-54
eeg.f4,1.3445258032406597e-07,8.004360027945312e-150,2.0113705646846555e-44,5.128892145734227e-144,4.310692569441453e-133,3.7616528579865115e-107
eeg.f8,0.7603671835014635,9.114632327109041e-128,1.0306197695665924e-07,3.329889308345762e-110,2.7551004224007602e-05,8.7183873279849e-121
eeg.af4,0.333218501954481,0.0001891500635347597,4.273897911393926e-14,0.03727658937279369,1.083471946770519e-08,3.956692613787108e-96
