Channel,RN_mean,RW_mean,SN_mean,SW_mean
eeg.af3,7.699198279686736,6.029202916012086,12.228730970480886,112.28312448798651
eeg.f7,3.313923923639437,7.294897646877454,7.551355755138314,343.65125937651607
eeg.f3,4.625512382822011,1.8978666427694442,12.281471514718756,85.52850776992993
eeg.fc5,2.8001524912271236,1.7408329528251367,6.617532871699682,309.819394720506
eeg.t7,1.9945544862652151,3.4864170761908873,4.394591404910916,258.05244022674486
eeg.p7,1.7213559944075103,2.261971333690121,3.7181654682495275,606.683821857918
eeg.o1,2.4804380775943744,2.7612033262405373,6.676272661192335,262.5797149586338
eeg.o2,3.3940677452975865,1.9637014755623656,4.950358996745233,248.57962304789234
eeg.p8,1.9924927013884797,2.1547177830902067,3.072251658357604,146.57065919124992
eeg.t8,2.104360174492172,2.7562160213886906,4.663765271717196,387.6087318607254
eeg.fc6,2.4602834804025604,1.540132395460767,4.7157256299878005,432.4676429261106
eeg.f4,2.652011828308616,2.315242633792657,3.3866811104209855,231.00863537726292
eeg.f8,2.239488889749135,5.781835751062762,3.187069243336818,377.0075262641833
eeg.af4,5.235753576404107,11.15818152125755,6.133621226575048,281.58845183282574
