Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,4.9571698932994495e-08,1.3625040601958267e-99,3.38615439921314e-101,2.243022231735435e-22,1.8169885546336058e-106,5.399183370274177e-89
eeg.f7,3.832548678226913e-06,2.1169526496306456e-112,5.029312969707697e-99,8.867676305126358e-78,8.148669392483535e-99,8.706212497782274e-87
eeg.f3,0.10015754671062638,2.583213853928603e-104,1.5835131913919073e-99,1.4776434489814763e-92,2.486095482835248e-99,1.085076417037683e-90
eeg.fc5,0.17281717663629034,2.6652358068438154e-74,2.9846748851373786e-108,2.2832933473183318e-101,3.6764560168741615e-106,4.9207565935814774e-95
eeg.t7,2.255022176347586e-07,1.6800216697095333e-118,5.0516852232540004e-108,2.1890718355681703e-81,5.185858506649175e-110,2.3648553178539518e-71
eeg.p7,4.327800193345015e-05,9.086721569000154e-124,5.297154751478935e-109,2.3158555941073338e-104,3.9390392597241867e-109,1.491996806003098e-80
eeg.o1,1.1933622013148886e-06,2.131154309731769e-83,2.34291266729205e-109,6.920616184089283e-37,1.105286651757718e-109,2.002883270230327e-100
eeg.o2,0.2120872134519174,3.2567344686295264e-106,3.4182566456005486e-101,1.4005341395302994e-112,1.421238111370037e-98,7.68963709996291e-77
eeg.p8,0.0008132785450851845,7.497503822451788e-126,2.970362982600532e-104,1.4456237164264317e-102,1.7301137872333946e-104,9.589521233510277e-93
eeg.t8,0.1569568427870955,3.3303651269859193e-124,8.227919577658867e-118,8.004811802301619e-116,6.767031081065044e-111,2.093909551482632e-17
eeg.fc6,3.2769201066411524e-05,3.3865042745216877e-115,3.1726969057046777e-101,4.0366359754452765e-114,1.3254528357974985e-100,4.943134383138527e-80
eeg.f4,0.017885779057206782,1.5092566077262398e-115,4.2393187548902117e-103,1.099988741600695e-109,1.011987947563382e-102,2.2723286779967198e-95
eeg.f8,0.022817752381486135,1.879569990627879e-115,1.3565157283867204e-103,2.0702131572673347e-100,3.3655238137990353e-108,4.016887003234388e-81
eeg.af4,1.8145050811412966e-05,1.97691935090476e-108,3.6002476002954386e-97,3.5946835178285638e-53,4.476939669726647e-101,1.1396149272407071e-82
