Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.0002427847060700173,8.621980112121372e-61,5.518640617160934e-177,3.872929620613214e-10,6.241465594373096e-81,6.913659726152337e-219
eeg.f7,3.60238948498306e-05,3.836777543831265e-49,1.0069705749549635e-74,2.4714705141644253e-10,2.5612759969098396e-26,1.0431762718044796e-40
eeg.f3,0.005536135739659073,6.489111676373857e-87,1.5827811096039565e-275,1.5070438816740191e-115,1.6617683339488344e-242,5.089687479611717e-243
eeg.fc5,9.442585414750104e-05,3.430374178912631e-101,6.597091560520879e-99,7.327749341550736e-121,1.1765684149355606e-176,2.1996595294345645e-05
eeg.t7,0.6660077043213462,5.504462480677622e-75,7.114459938136457e-89,2.278871427349854e-71,7.708149536667732e-86,3.349002560112566e-10
eeg.p7,0.8355401064150705,3.8715938013891904e-97,1.5114804781028167e-154,3.497257746185092e-108,1.4583225263852332e-186,7.815623551057808e-91
eeg.o1,0.0007158100039341954,1.2305051194209905e-110,3.4062720699944445e-88,4.254247059998113e-82,1.165706341441862e-54,1.6498016844442933e-27
eeg.o2,0.19722978160324162,2.612400166444411e-94,5.9833286119474995e-65,5.257604925374908e-81,4.780244854902995e-49,2.116579726152737e-33
eeg.p8,0.007128862624717293,7.071256737885413e-54,1.5652591957617944e-175,3.0317920441609957e-23,2.2661212463403214e-122,2.705057353413611e-220
eeg.t8,0.012698676379721486,2.140990388310177e-117,1.067569248617928e-136,9.339512911908565e-96,4.508782101360634e-95,0.0729928423024944
eeg.fc6,0.5730954569378337,6.809220151949444e-80,1.5491231936448868e-164,1.1064144327237708e-69,1.2035060517226687e-149,1.3749865145975466e-130
eeg.f4,1.5267832421775134e-05,2.39934997556985e-75,1.3984737100946676e-283,1.7158770009823478e-120,8.943977622553741e-243,9.693093439733653e-244
eeg.f8,0.2156350754015509,0.01796592416377596,1.1204099558583502e-65,0.9396231313882744,3.1163715447877143e-35,3.496721978541189e-231
eeg.af4,0.6524155348775476,3.280936357286053e-12,9.983159346549909e-65,3.5497870432954325e-11,2.0946091811012926e-57,7.315511274589085e-144
