Channel,RN_mean,RW_mean,SN_mean,SW_mean
eeg.af3,5.246402935567232,9.541165689564897,20.729370146761404,35.33415574390358
eeg.f7,6.071756549520142,9.626731699001963,34.32933936689842,33.940854009237604
eeg.f3,2.7806635157486794,2.0859224264770355,42.62316780520475,19.50255555045368
eeg.fc5,3.378749826621077,2.570600606413769,65.31507163889178,19.57442279925366
eeg.t7,4.417916271469099,5.670028039519881,79.11161295542801,9.534032510685334
eeg.p7,2.7182566414081486,4.506850603215381,54.553047174829764,11.067482091630746
eeg.o1,2.716455931143875,4.5495465887877895,26.81154479170293,39.45547634566805
eeg.o2,3.551598831473673,2.7066502375669215,58.40027604012694,30.955802397795203
eeg.p8,2.623242328970032,4.165009526433642,40.81296456628852,13.868868400375746
eeg.t8,3.8345722114850247,4.202682668117903,72.04153836011433,18.448195183222392
eeg.fc6,3.185963990784749,3.284510618279362,50.685225025418134,27.422730263044468
eeg.f4,3.1099465900479792,2.518428681152383,58.73791313102421,11.175739150823151
eeg.f8,7.776163890769965,7.989332391542041,42.4366153712326,18.252801235169816
eeg.af4,6.315810073029442,7.005877262490019,33.60244931581858,5.802541501005312
