Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.00038462475617745114,3.6303614087243665e-09,5.780580863832575e-51,0.2412209520720097,1.9263879200425533e-07,6.43912872292863e-62
eeg.f7,3.1520897961021314e-09,1.5664174615986236e-81,9.147745853788323e-125,0.00867087940529807,2.4242206811278137e-49,2.9291425176949356e-79
eeg.f3,0.024968006627619173,3.672492927031723e-26,1.1549426284265328e-35,7.041035431724865e-45,2.636938257387042e-56,5.790308790073034e-10
eeg.fc5,0.767348411243636,1.619024905613416e-220,1.4602215719937017e-93,4.062220246993017e-229,4.0879581886563444e-96,2.6531379946338632e-143
eeg.t7,0.005576975515746547,8.318872279484129e-193,4.937191747728077e-109,2.0699931628728972e-130,8.6420825578388e-97,1.0789010700377052e-08
eeg.p7,0.004169400451261125,8.128278404391556e-227,5.363031845744482e-110,3.5477383901182776e-169,6.5408316330323e-114,1.086761417567615e-38
eeg.o1,0.00021864082195348396,1.9531008292210932e-74,7.066461936486206e-108,5.95396860984845e-25,2.1225811787065025e-98,5.2088032844463327e-70
eeg.o2,0.18593567707664127,1.330293031443547e-30,1.5937577465908143e-112,1.2095575834715946e-22,1.8212790889145333e-112,2.1595036663903036e-101
eeg.p8,0.023549428477988972,8.881150604290094e-131,1.8240488365251892e-111,9.396436776508136e-98,6.875608116136592e-113,2.191975665180981e-74
eeg.t8,0.16173098709169745,4.733568895622183e-57,1.8781391690607638e-81,1.7026388299044247e-57,1.7318001234370064e-80,3.532741243854315e-24
eeg.fc6,0.7796302534234834,1.1796513555515756e-118,1.2527116268901407e-110,2.1910490766610214e-136,1.4346874266710268e-108,1.0175026432341229e-73
eeg.f4,7.013147313207177e-06,5.771331132151567e-161,4.577232699795565e-122,5.2194400777417696e-266,1.639262752673704e-116,0.07890447343767168
eeg.f8,6.376926544328076e-08,3.819492360539449e-173,2.0167087005452573e-117,1.3602141786072585e-18,4.8827220695830964e-48,3.1570794959486115e-46
eeg.af4,0.0038951982591512125,1.1510626979995976e-23,2.831247984036292e-85,0.008205638771371525,4.14381529925736e-30,3.623469852835732e-67
