Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.00015667891738232087,2.5435428142751352e-21,5.978730698661235e-36,0.3195274672104722,5.456745252099532e-18,4.006219075371862e-25
eeg.f7,1.3547157160408525e-05,3.4818958632795764e-10,2.0334100582551594e-21,0.0694750676342978,1.8479936675326383e-16,1.1691882894241005e-18
eeg.f3,0.21206005647094045,9.412923044071273e-24,1.7629505822843376e-43,1.5851089111526357e-28,7.300549463862819e-44,9.687193710859257e-30
eeg.fc5,0.04945891183930079,1.3788975595064204e-31,4.310915485672749e-48,2.3459695159111643e-35,1.0458098987951412e-45,5.617123936905633e-32
eeg.t7,0.8471312430543028,1.6573285941083703e-19,5.5352459004550525e-27,3.339015468734218e-23,6.552657394650627e-29,1.8515986694539107e-06
eeg.p7,0.2470896593855525,2.2502842589155424e-16,1.9893900057037285e-27,1.730590189095943e-12,7.151764158370136e-26,7.224602364505841e-16
eeg.o1,0.09833561424041318,4.8475022863063664e-20,1.8486460634373135e-39,5.591344185034266e-19,1.802099425061976e-37,2.2069442107106064e-31
eeg.o2,0.6893342457870153,1.237078797599364e-08,3.8232233899236045e-41,1.1029768804392647e-12,1.158777495326047e-39,1.2261983343306953e-37
eeg.p8,0.040121032256021656,4.004768296258137e-17,5.219982024016681e-40,7.657451158383288e-09,2.591132410450557e-35,9.676586637036388e-27
eeg.t8,0.15821487460684003,1.5134697164759733e-19,1.6029696851310473e-32,2.9302572417347886e-20,2.1211986584807958e-31,6.886883477214062e-14
eeg.fc6,0.2925212797583071,6.327012925651362e-23,1.4049912422585252e-36,2.165770348049328e-27,4.471404236553906e-39,4.106670489724139e-11
eeg.f4,0.7168572669673468,1.0361703534279282e-10,2.607130465978472e-42,4.1372121530511887e-13,6.8300919268864415e-43,1.7107416419388198e-32
eeg.f8,0.03205926569390866,8.714721070283267e-19,4.791121317501475e-38,0.012990657931425365,3.242535041769956e-38,3.422137716053794e-33
eeg.af4,1.2220845402437679e-05,5.551223959651315e-20,6.1005419139437255e-24,0.663116130682922,2.3625547468576215e-05,6.381963645901976e-09
