Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.14123930283556052,0.0003282114406633103,8.482336374501312e-48,2.5479340906214104e-07,2.3963312541619023e-46,8.384499455140898e-46
eeg.f7,0.000158808737603054,8.623970684940444e-10,6.165170939354454e-37,0.792714705929799,2.491290497040334e-37,1.0370860165004923e-36
eeg.f3,0.004177710896021742,2.382994056458902e-08,2.0002291651391072e-37,2.076112672667508e-13,1.3481959164638067e-33,6.655836224403745e-35
eeg.fc5,0.010237128844177578,1.1050644381436436e-09,1.047776861046777e-38,1.591458327047994e-13,1.0649862835594273e-38,1.3919876946654815e-38
eeg.t7,0.0735544881252484,1.1290134428268145e-08,1.9291438652518703e-32,0.2727743703285887,8.776419910270638e-33,2.7314449529527133e-32
eeg.p7,0.2048145286035437,9.845669497416308e-09,1.169993798684922e-34,0.0016576855390008874,1.145541077669017e-34,1.3160702465810688e-34
eeg.o1,0.6154050271236289,2.0742873374824902e-11,6.537239924993037e-41,4.250315987787354e-11,6.170180768523466e-41,1.9373124630612295e-40
eeg.o2,0.027983268196664222,0.0193879544433278,2.6114566687687527e-34,4.235135238052039e-14,4.7490010633253214e-34,7.252736256746696e-34
eeg.p8,0.7283888597551542,0.00855299205992335,1.6868142800357794e-30,0.005052978793237755,2.1443526599893192e-30,3.593533184897339e-30
eeg.t8,0.30062415685377,2.2474787462314879e-07,1.4637644419572083e-30,0.0012402027280365385,1.4352199113026557e-30,1.9730511309109208e-30
eeg.fc6,0.025449010611721775,2.2884028255131736e-06,1.546638428751697e-34,2.7764004694666174e-15,1.54433554695532e-34,2.0227005974618338e-34
eeg.f4,0.37397275891468595,0.053397097378708985,2.246413114565387e-39,3.717368886741843e-05,3.6504531784444986e-39,4.5289179863086084e-39
eeg.f8,0.00016523475294858003,0.01552985802390744,7.594761491692099e-27,0.0027907856875542822,9.151542233853286e-27,8.594538928844154e-27
eeg.af4,0.007344819411246481,0.24270690083309082,6.9376098609568455e-34,0.017025724132124487,3.2901240231093816e-36,1.6807928627182956e-33
