Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,0.18100893745553598,6.069381724729139e-54,1.6310872112536315e-75,1.003019473756055e-48,1.5291602666862996e-76,8.111579823094053e-65
eeg.f7,0.03890767993076444,5.811332578367897e-59,2.829810303867055e-101,7.104088878931989e-60,7.261546369143771e-91,2.492094878232741e-60
eeg.f3,0.05266000670937718,6.897050708818368e-64,1.1842183603704503e-84,4.9181769599715296e-61,4.7659343378866696e-82,7.001447136574024e-44
eeg.fc5,0.005890188053646369,8.47223540397479e-28,2.3045069648502795e-113,5.086126168723729e-16,1.3048926826745675e-114,2.789390648047164e-107
eeg.t7,0.05457541587594734,1.1176224148929675e-46,2.270290236106755e-72,3.6978987538662626e-54,2.8666210527600838e-71,4.1492032136745425e-66
eeg.p7,1.9642417812119812e-10,1.6663232547429127e-36,1.8500464438465132e-75,0.6668590030803578,1.1924588162292634e-75,5.06152853471784e-74
eeg.o1,0.5117293027099249,1.0050973313992272e-63,7.679560865926995e-84,1.5703058194966713e-62,1.785761748018695e-81,2.635599753592329e-40
eeg.o2,0.03599789371382775,3.8633578960899043e-62,2.239077684142074e-99,3.4453578509976976e-61,1.44511657848008e-91,7.85860700604078e-06
eeg.p8,0.955471971909534,4.8438119723515216e-30,8.97024479517093e-108,2.2731510590265178e-45,9.533252499341801e-98,2.3454144027481263e-93
eeg.t8,0.48245308226123407,4.0555394830249724e-64,5.926895760967746e-133,1.1093089247752571e-62,3.6960059321231076e-131,3.86111991221707e-26
eeg.fc6,0.0006555561859507013,3.987105923180577e-64,9.619117262443577e-74,1.694171580452849e-66,5.2003771877601434e-74,1.3157442014181323e-68
eeg.f4,7.465858585723204e-10,2.4697082311951666e-73,1.9256819786082783e-98,2.2569039273947055e-75,1.1608820241805093e-94,5.029063826296841e-86
eeg.f8,0.15042873464000361,2.4282476307051543e-14,2.493070423255909e-76,5.029642120545226e-12,1.80523645569101e-74,1.6982519148808315e-69
eeg.af4,0.009936053719994389,1.3023745163665717e-58,7.582465921141554e-116,2.5201065142948163e-65,1.535768701025434e-110,3.635748345249362e-71
