Channel,RN vs RW,RN vs SN,RN vs SW,RW vs SN,RW vs SW,SN vs SW
eeg.af3,1.6062716293835263e-13,8.810712440788774e-100,1.0645830001568104e-87,5.601727029805811e-101,9.392011946517218e-87,3.392183978601212e-67
eeg.f7,2.7238184131748367e-17,1.175837781707622e-106,1.7365256997726676e-90,2.545638587362145e-110,3.0406254431917585e-89,2.4370553223676844e-56
eeg.f3,1.984840725871395e-05,1.8434263848707783e-110,4.244981531033066e-89,3.3536907808579327e-112,2.587560282810845e-88,0.0006523760699820224
eeg.fc5,1.5947753022716043e-05,4.2754508290089075e-114,6.415119906630608e-96,6.032796920900538e-115,1.1468478577155952e-95,1.6451452462007564e-81
eeg.t7,1.2936790560739178e-14,4.145241598627819e-112,2.3074381681770362e-89,4.015319354288522e-119,1.1931219554493135e-88,3.0422394430819406e-79
eeg.p7,3.069130209603147e-15,3.2463716503051943e-114,5.695922281136698e-75,5.824658483079454e-118,3.415374797697474e-73,1.5198911753739746e-55
eeg.o1,2.215900713195726e-19,1.5115506744068386e-114,1.32504541231951e-88,6.174611008850733e-117,3.7045989058056785e-88,1.6170485505977638e-79
eeg.o2,1.4806666787288202e-09,2.4826943255095107e-112,1.893270861367876e-89,5.368230681583037e-112,4.5782669092055356e-89,3.139942573756751e-49
eeg.p8,7.958034592660346e-08,4.564100866286553e-114,2.578565859267008e-94,7.516560827239579e-110,3.747810820289261e-95,1.1352518253951522e-64
eeg.t8,3.2145981968889094e-15,5.626585038368913e-120,4.871678336064357e-93,5.674531007493774e-116,9.119507781218702e-92,1.7045269654944375e-71
eeg.fc6,7.873195364993205e-15,1.7083701559092122e-109,4.9360168186972925e-81,4.4199685175315e-109,1.6468549577985635e-80,1.1145193322578763e-72
eeg.f4,0.007001472979751917,1.6938724290150503e-106,4.544716393144773e-92,1.4593502239420313e-105,5.712094409363348e-92,1.6130197253257708e-82
eeg.f8,3.7725465820657176e-08,4.214674914914082e-122,1.0795171287428855e-88,3.778189199350953e-54,3.680010351181509e-88,9.218159865241011e-82
eeg.af4,0.9842149477068189,1.0712672362707488e-112,9.26690096929934e-92,3.0469887935476056e-119,3.924809183115283e-92,1.6582002542016497e-70
