Channel,RN_mean,RW_mean,SN_mean,SW_mean
eeg.af3,6.938986845834464,13.008077775432225,11.19172482582196,21.614439748554805
eeg.f7,4.613269672945133,13.989025470532015,17.875816943510625,44.25217575664306
eeg.f3,2.7654544081704455,2.2400229136491063,5.034922843089286,5.751527890036328
eeg.fc5,2.4862723223242753,2.412932648222091,21.289471291841206,10.034702990520953
eeg.t7,2.7761520021534887,3.905886430471221,21.479245794122697,18.9719993679474
eeg.p7,2.5682183956525653,3.8356601843812297,29.34707507256855,44.160064523183934
eeg.o1,2.660533716091128,4.624771419942546,10.198183353978065,26.159581785485113
eeg.o2,2.696920026833312,3.181174640103078,6.204067666138742,51.23577032153751
eeg.p8,1.9736849203554154,2.6259033070050717,11.126241110661269,28.058605348555385
eeg.t8,2.474654900494466,2.947151398013578,8.278272715566889,11.02996981339224
eeg.fc6,1.799297024614402,1.8561445432175874,9.070595461206349,22.998610581137367
eeg.f4,2.755074124950247,1.7098919098568297,16.93260882401278,17.525897836636062
eeg.f8,3.3686298152297316,10.033190358690776,21.645783655426893,33.587146149616444
eeg.af4,7.3310642373453305,11.752770959890636,15.378141316604493,31.015456150654465
