Channel,RN_mean,RW_mean,SN_mean,SW_mean
eeg.af3,9.460927631348033,13.152043670379156,38.11769145560384,13.258706070683138
eeg.f7,7.194649950150358,9.092397368419665,29.548434983953584,7.768305648593657
eeg.f3,2.179976968333858,1.7049691148591917,10.692591763028087,5.5961003883753655
eeg.fc5,3.562996236379383,1.825522215932407,4.48522592207042,4.261983687453833
eeg.t7,4.413203029365665,3.268722144529556,31.758188903277855,15.14875687120421
eeg.p7,2.9413758733880284,3.2987733738608247,16.176254293816516,10.447356140825834
eeg.o1,3.805089827304964,3.7957972521960173,24.017986011888933,5.200974153243838
eeg.o2,3.488945137766567,2.9152277628883883,17.311521657570484,24.455091594662175
eeg.p8,4.501105254244561,2.953889283498137,8.757296018342617,9.026707712909761
eeg.t8,3.7505149119055448,3.5002385168932197,29.14115133771185,19.258736511543148
eeg.fc6,2.920741522027356,1.8083228694582587,11.84356206660247,17.76756705354101
eeg.f4,2.324712436209925,1.281694986215331,14.918134849201856,5.602265378445384
eeg.f8,8.051619161374532,8.431021688853578,47.90084468313847,12.558067139718235
eeg.af4,12.395469489875042,10.859732474999221,8.359883023915625,3.755129999536402
