,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,9.557162405317648,11.423415326620548,1.8662529213029007,5.121043497151917
eeg.f7,8.943993833850543,10.533995567150976,1.5900017333004337,5.625147210877379
eeg.f3,9.41641067815174,11.222783603292559,1.80637292514082,5.2128829720728636
eeg.fc5,6.43400823334485,7.815779334710057,1.3817711013652074,4.656348803408658
eeg.t7,9.374963258867488,11.370752610885887,1.995789352018399,4.697371103849995
eeg.p7,9.67101875595209,11.657190761114048,1.986172005161958,4.869174826334706
eeg.o1,10.259096237977513,12.395199857692411,2.136103619714898,4.80271467592683
eeg.o2,8.827258328419594,10.64969433494381,1.8224360065242147,4.843658848846962
eeg.p8,5.91388017437354,7.425082983869303,1.5112028094957632,3.9133596909411623
eeg.t8,8.236531065515708,9.834248323396052,1.5977172578803442,5.155186872276363
eeg.fc6,4.364837789991339,5.419164625587455,1.0543268355961166,4.139928561115277
eeg.f4,4.752289708383706,5.894594353742139,1.1423046453584336,4.160264703489322
eeg.f8,9.152322271339493,10.805689338550653,1.65336706721116,5.535565662886563
eeg.af4,8.856263782515606,10.698257391106889,1.8419936085912831,4.807977467008381
