,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,7.259228029462791,8.490684654269055,1.2314566248062628,5.894830407347722
eeg.f7,10.515871987462916,11.877664773493722,1.3617927860308063,7.7220792945138275
eeg.f3,2.4304366363183387,3.4956528351987712,1.065216198880432,2.281636930836854
eeg.fc5,2.0616560624184577,2.942527340431207,0.8808712780127494,2.3404736784736535
eeg.t7,3.2061446640523545,4.222536073477759,1.016391409425404,3.15443892176566
eeg.p7,3.509924846887028,4.825196477604907,1.3152716307178784,2.6685931136204526
eeg.o1,3.43666888153411,6.27769387748768,2.8410249959535707,1.2096580888831896
eeg.o2,3.444227168765497,6.136535318383096,2.6923081496176,1.2792841557975925
eeg.p8,2.5456577434271,3.7054483683407353,1.1597906249136352,2.1949287059028832
eeg.t8,2.5228042554624253,3.600108727202338,1.0773044717399125,2.3417745800716303
eeg.fc6,1.4916668428403328,2.233642063225526,0.7419752203851933,2.0103998005551222
eeg.f4,1.9821298524002582,2.9532083168611174,0.9710784644608591,2.041163416001712
eeg.f8,4.410218777458945,5.219988687568091,0.8097699101091463,5.446261576481905
eeg.af4,4.319575039491997,5.290498861370062,0.9709238218780645,4.448932976727832
