,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,6.508270057198715,4.195657729920074,8.059461895389626,1.5511918381909116
eeg.f7,5.240497754290794,3.961745504124413,6.563272709770876,1.322774955480082
eeg.f3,3.397224408901057,2.703806854285722,4.653684118822229,1.2564597099211718
eeg.fc5,3.048573863921763,2.8475993210419572,4.119150688766212,1.0705768248444492
eeg.t7,5.087190651528009,3.913582080979266,6.387071552810156,1.299880901282147
eeg.p7,3.5662327322278173,2.387925387859473,5.0596766814955725,1.4934439492677556
eeg.o1,3.3408589657098577,1.1839953297923587,6.162541505321489,2.8216825396116314
eeg.o2,2.574039554293135,1.0385289788687522,5.052583342961004,2.4785437886678694
eeg.p8,2.4317480383392245,1.9697018568174094,3.6663247471136597,1.2345767087744355
eeg.t8,3.9276940031258145,3.3407445406414715,5.10338820054018,1.175694197414365
eeg.fc6,2.6863800622591056,2.8795265819843787,3.619304270715323,0.9329242084562177
eeg.f4,4.3290863867413645,3.596975773339985,5.532621422346855,1.20353503560549
eeg.f8,3.6798500964549277,3.4296386411769224,4.7528057245264135,1.0729556280714863
eeg.af4,5.482279361549613,5.414676524456672,6.494764468275395,1.0124851067257834
