,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,5.560756931925933,7.257097157367919,1.6963402254419857,3.27809058139543
eeg.f7,5.03459380428921,6.425224311169067,1.3906305068798563,3.6203677152090905
eeg.f3,2.9916735639888223,4.3206119846206255,1.3289384206318031,2.251175456604261
eeg.fc5,2.4599359365308096,3.479889636081638,1.0199536995508285,2.411811371133007
eeg.t7,4.856183244452837,6.781319400737083,1.9251361562842464,2.522514169751967
eeg.p7,5.135161821777505,7.184555558586612,2.0493937368091073,2.5056980112350753
eeg.o1,5.120010760643811,7.269109909351806,2.1490991487079953,2.38239857487901
eeg.o2,2.745069524472177,4.1622282273605915,1.417158702888415,1.9370233654563578
eeg.p8,3.4773442384371798,5.290494871181756,1.8131506327445763,1.9178463009565287
eeg.t8,4.642264590530429,6.527779528577422,1.885514938046992,2.462067250157545
eeg.fc6,2.756067467285098,3.957298995945657,1.2012315286605588,2.2943682186894847
eeg.f4,3.323920223148694,4.548031200571201,1.224110977422507,2.715374885600906
eeg.f8,3.3125866244848052,4.465863785772554,1.1532771612877486,2.872324823721672
eeg.af4,5.327163798303687,6.8420983512411,1.5149345529374134,3.516431634081081
