,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,4.933357662009047,6.4910933761382115,1.5577357141291646,3.167005545379572
eeg.f7,5.3613572455646885,6.656521274324592,1.2951640287599038,4.139519862159646
eeg.f3,1.7118019548738472,2.66734595698449,0.9555440021106429,1.7914423050843746
eeg.fc5,1.5593160142860947,2.395176515890327,0.8358605016042324,1.8655218248441552
eeg.t7,4.0102772434726806,5.655286203492452,1.645008960019771,2.4378452131497625
eeg.p7,3.647372887906031,5.206329519604481,1.55895663169845,2.3396243308036566
eeg.o1,4.174577047708154,6.509244960646015,2.3346679129378605,1.7880817248346221
eeg.o2,2.5696682324222158,4.837629560013952,2.2679613275917365,1.1330300014610537
eeg.p8,2.914168252148093,4.409730868183868,1.495562616035774,1.9485431206998653
eeg.t8,3.4614086932400223,5.224464191097243,1.7630554978572213,1.9633010326659341
eeg.fc6,2.649813251245236,3.8972392988363778,1.247426047591142,2.1242247189778456
eeg.f4,2.600376870523271,3.7570768443189126,1.1566999737956416,2.2480996993322933
eeg.f8,3.17377793639758,4.1595167178462695,0.985738781448689,3.219694696549767
eeg.af4,2.516256641924894,3.715809726894706,1.1995530849698115,2.0976617620215228
