,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,3.0775528807490145,2.880141573201243,4.146095093139551,1.0685422123905366
eeg.f7,4.251717969715931,3.793582715484022,5.372483817725314,1.1207658480093834
eeg.f3,2.4101635930809464,2.660792473987503,3.3159702655990935,0.9058066725181471
eeg.fc5,3.29420575174678,2.920631385606578,4.4221145171452365,1.1279087653984565
eeg.t7,3.076419786461489,2.256537815067266,4.4397560249658055,1.3633362385043168
eeg.p7,3.733603996250456,2.668019159894709,5.132995731780527,1.3993917355300707
eeg.o1,3.628649994420755,2.6986398838582626,4.973271769286323,1.3446217748655682
eeg.o2,2.560712143142472,1.9136205446079046,3.8988625597071027,1.338150416564631
eeg.p8,2.482708214347925,2.3958576507402447,3.5189585134117465,1.0362502990638216
eeg.t8,3.802088614594606,2.6622730356320417,5.230224850146755,1.4281362355521494
eeg.fc6,1.9097560857236846,2.195757546578898,2.7795042440214983,0.869748158297814
eeg.f4,2.515825181977655,2.1966894705266924,3.661105467090612,1.1452802851129564
eeg.f8,3.066389677611388,2.9529707885843495,4.104798076170738,1.0384083985593497
eeg.af4,3.433246038345559,3.134631236739667,4.5285091715568,1.0952631332112412
