,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,4.557930562106161,5.933395386701589,1.3754648245954275,3.3137383547294563
eeg.f7,7.006152590511651,8.442268232200025,1.4361156416883747,4.878543460736333
eeg.f3,2.5461873486656845,3.5728733263065937,1.0266859776409094,2.4800059558667824
eeg.fc5,2.2158214894569697,3.0212257130412885,0.8054042235843188,2.7511917792400675
eeg.t7,4.997809428806301,6.584988940411442,1.5871795116051415,3.1488620922860022
eeg.p7,3.402929610419978,4.75645055729453,1.3535209468745522,2.51413145963662
eeg.o1,4.454093454210072,6.371551916464416,1.9174584622543434,2.3229152120729593
eeg.o2,1.9300001957102526,3.155273875471217,1.2252736797609647,1.5751584522934174
eeg.p8,2.261911543603908,3.369619847321436,1.107708303717528,2.041973984714971
eeg.t8,4.415252805721013,5.988275078847655,1.5730222731266428,2.806859669011883
eeg.fc6,2.076137914002942,2.899718516331228,0.8235806023282861,2.5208679079819953
eeg.f4,2.7669160070664818,3.783726589080609,1.0168105820141269,2.721171524275854
eeg.f8,5.206128126600944,6.438196937662381,1.232068811061437,4.225517325778546
eeg.af4,6.777925466878805,8.161816847312007,1.3838913804332018,4.8977293581684025
