,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,5.560756931925933,3.27809058139543,7.257097157367919,1.6963402254419857
eeg.f7,5.03459380428921,3.6203677152090905,6.425224311169067,1.3906305068798563
eeg.f3,2.9916735639888223,2.251175456604261,4.3206119846206255,1.3289384206318031
eeg.fc5,2.4599359365308096,2.411811371133007,3.479889636081638,1.0199536995508285
eeg.t7,4.856183244452837,2.522514169751967,6.781319400737083,1.9251361562842464
eeg.p7,5.135161821777505,2.5056980112350753,7.184555558586612,2.0493937368091073
eeg.o1,5.120010760643811,2.38239857487901,7.269109909351806,2.1490991487079953
eeg.o2,2.745069524472177,1.9370233654563578,4.1622282273605915,1.417158702888415
eeg.p8,3.4773442384371798,1.9178463009565287,5.290494871181756,1.8131506327445763
eeg.t8,4.642264590530429,2.462067250157545,6.527779528577422,1.885514938046992
eeg.fc6,2.756067467285098,2.2943682186894847,3.957298995945657,1.2012315286605588
eeg.f4,3.323920223148694,2.715374885600906,4.548031200571201,1.224110977422507
eeg.f8,3.3125866244848052,2.872324823721672,4.465863785772554,1.1532771612877486
eeg.af4,5.327163798303687,3.516431634081081,6.8420983512411,1.5149345529374134
