,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,3.84335397190007,3.9552578899042663,4.815061522812157,0.9717075509120864
eeg.f7,4.942971657476564,3.6631293493233303,6.29235661655095,1.349384959074386
eeg.f3,1.9376080806168072,2.5746211189322867,2.6901879702528158,0.7525798896360085
eeg.fc5,1.9890371290245306,2.8423393504607994,2.6888258877902618,0.699788758765731
eeg.t7,7.694563905661132,3.6972646643851874,9.775714318974368,2.0811504133132352
eeg.p7,7.4956760973244725,3.4290651446759104,9.681600180169445,2.185924082844972
eeg.o1,6.945977598131631,2.957729173847239,9.294393279591683,2.3484156814600516
eeg.o2,3.0153031149720895,2.8722399322595216,4.065112035923775,1.0498089209516857
eeg.p8,4.448116637756294,3.4360353034055997,5.742665801548079,1.2945491637917856
eeg.t8,5.759276149272315,3.440435554067886,7.4332723749769976,1.6739962257046819
eeg.fc6,4.272427894199547,3.524149759271428,5.484756590937532,1.2123286967379852
eeg.f4,4.994752515408525,3.863815976056326,6.287451892003294,1.2926993765947692
eeg.f8,4.234566822578173,4.48940406739318,5.17780266259672,0.9432358400185475
eeg.af4,3.020346332658594,3.3835698993837604,3.9129971181146894,0.8926507854560957
