,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,4.1573005872842765,3.536662722526187,5.332787448592453,1.1754868613081764
eeg.f7,3.680956992926872,3.572409477341311,4.711341945890108,1.0303849529632356
eeg.f3,3.413095519465734,3.6180083566660812,4.356458599011945,0.9433630795462108
eeg.fc5,3.910516767234772,3.8165508017851404,4.935137406948639,1.0246206397138673
eeg.t7,3.873926211218836,3.406106375508586,5.011273597457998,1.1373473862391612
eeg.p7,2.6769412963278274,3.4204465717093124,3.459570471368201,0.782629175040374
eeg.o1,2.338992603631166,3.2519013127220333,3.058261843698769,0.7192692400676028
eeg.o2,1.8321258042635384,2.8783866788829333,2.4686371532574007,0.6365113489938623
eeg.p8,1.5235613944747008,2.632019438152809,2.1024178304064924,0.5788564359317917
eeg.t8,2.5850604695688113,3.4476630270303916,3.3348612559542214,0.7498007863854103
eeg.fc6,2.3654042593240705,3.313285662937697,3.0793192349811327,0.7139149756570623
eeg.f4,2.905692919944959,3.1792647020113214,3.819644154098378,0.9139512341534188
eeg.f8,3.3566688679306256,3.549773831902914,4.302269634604111,0.9456007666734861
eeg.af4,2.7489592805084007,3.1915285761239924,3.6102892662690094,0.8613299857606086
