,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,3.84335397190007,4.815061522812157,0.9717075509120864,3.9552578899042663
eeg.f7,4.942971657476564,6.29235661655095,1.349384959074386,3.6631293493233303
eeg.f3,1.9376080806168072,2.6901879702528158,0.7525798896360085,2.5746211189322867
eeg.fc5,1.9890371290245306,2.6888258877902618,0.699788758765731,2.8423393504607994
eeg.t7,7.694563905661132,9.775714318974368,2.0811504133132352,3.6972646643851874
eeg.p7,7.4956760973244725,9.681600180169445,2.185924082844972,3.4290651446759104
eeg.o1,6.945977598131631,9.294393279591683,2.3484156814600516,2.957729173847239
eeg.o2,3.0153031149720895,4.065112035923775,1.0498089209516857,2.8722399322595216
eeg.p8,4.448116637756294,5.742665801548079,1.2945491637917856,3.4360353034055997
eeg.t8,5.759276149272315,7.4332723749769976,1.6739962257046819,3.440435554067886
eeg.fc6,4.272427894199547,5.484756590937532,1.2123286967379852,3.524149759271428
eeg.f4,4.994752515408525,6.287451892003294,1.2926993765947692,3.863815976056326
eeg.f8,4.234566822578173,5.17780266259672,0.9432358400185475,4.48940406739318
eeg.af4,3.020346332658594,3.9129971181146894,0.8926507854560957,3.3835698993837604
