,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,4.895040570914047,6.035746546833722,1.140705975919674,4.291237751183624
eeg.f7,5.40189043206926,6.8695775943114326,1.4676871622421725,3.6805462050276576
eeg.f3,2.2972727988681725,3.040743963018239,0.7434711641500663,3.0899285497390356
eeg.fc5,2.1447905966213905,2.8983738285884337,0.7535832319670434,2.846123018347587
eeg.t7,5.194731011182966,6.332693659195516,1.1379626480125495,4.564939760187564
eeg.p7,4.713385755826108,5.886151108900466,1.1727653530743585,4.01903559140237
eeg.o1,4.980717259327277,6.126474985023643,1.1457577256963658,4.347094551417432
eeg.o2,3.176980239113535,4.126511460645591,0.9495312215320559,3.3458407158384342
eeg.p8,1.946936919574576,2.5449910362520956,0.5980541166775193,3.2554527386208445
eeg.t8,2.8181059965769526,3.6468243625112358,0.8287183659342833,3.400559326208221
eeg.fc6,2.369215034392749,3.17038888298099,0.8011738485882409,2.957179683365442
eeg.f4,2.3194795903994936,3.1275097789456234,0.80803018854613,2.8705357997695877
eeg.f8,2.6108448871880516,3.3836745442077643,0.7728296570197126,3.378292818289735
eeg.af4,3.23734898084329,4.227184987528381,0.9898360066850913,3.270591231699389
