,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,3.0775528807490145,4.146095093139551,1.0685422123905366,2.880141573201243
eeg.f7,4.251717969715931,5.372483817725314,1.1207658480093834,3.793582715484022
eeg.f3,2.4101635930809464,3.3159702655990935,0.9058066725181471,2.660792473987503
eeg.fc5,3.29420575174678,4.4221145171452365,1.1279087653984565,2.920631385606578
eeg.t7,3.076419786461489,4.4397560249658055,1.3633362385043168,2.256537815067266
eeg.p7,3.733603996250456,5.132995731780527,1.3993917355300707,2.668019159894709
eeg.o1,3.628649994420755,4.973271769286323,1.3446217748655682,2.6986398838582626
eeg.o2,2.560712143142472,3.8988625597071027,1.338150416564631,1.9136205446079046
eeg.p8,2.482708214347925,3.5189585134117465,1.0362502990638216,2.3958576507402447
eeg.t8,3.802088614594606,5.230224850146755,1.4281362355521494,2.6622730356320417
eeg.fc6,1.9097560857236846,2.7795042440214983,0.869748158297814,2.195757546578898
eeg.f4,2.515825181977655,3.661105467090612,1.1452802851129564,2.1966894705266924
eeg.f8,3.066389677611388,4.104798076170738,1.0384083985593497,2.9529707885843495
eeg.af4,3.433246038345559,4.5285091715568,1.0952631332112412,3.134631236739667
