,TBR (Theta/Beta),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta),Theta/Alpha
eeg.af3,6.508270057198715,8.059461895389626,1.5511918381909116,4.195657729920074
eeg.f7,5.240497754290794,6.563272709770876,1.322774955480082,3.961745504124413
eeg.f3,3.397224408901057,4.653684118822229,1.2564597099211718,2.703806854285722
eeg.fc5,3.048573863921763,4.119150688766212,1.0705768248444492,2.8475993210419572
eeg.t7,5.087190651528009,6.387071552810156,1.299880901282147,3.913582080979266
eeg.p7,3.5662327322278173,5.0596766814955725,1.4934439492677556,2.387925387859473
eeg.o1,3.3408589657098577,6.162541505321489,2.8216825396116314,1.1839953297923587
eeg.o2,2.574039554293135,5.052583342961004,2.4785437886678694,1.0385289788687522
eeg.p8,2.4317480383392245,3.6663247471136597,1.2345767087744355,1.9697018568174094
eeg.t8,3.9276940031258145,5.10338820054018,1.175694197414365,3.3407445406414715
eeg.fc6,2.6863800622591056,3.619304270715323,0.9329242084562177,2.8795265819843787
eeg.f4,4.3290863867413645,5.532621422346855,1.20353503560549,3.596975773339985
eeg.f8,3.6798500964549277,4.7528057245264135,1.0729556280714863,3.4296386411769224
eeg.af4,5.482279361549613,6.494764468275395,1.0124851067257834,5.414676524456672
