file,fs,band,mean_bandpower_across_channels,std_bandpower_across_channels,n_channels,n_epochs,n_samples_per_epoch
posture6_no_exo.npz,128.0801544189453,Beta (13–30 Hz),0.00021366776946851783,0.0001556897553799905,14,178,768
posture6_no_exo.npz,128.0801544189453,Gamma (30–45 Hz),9.872439972525439e-05,8.735797324623792e-05,14,178,768
posture6_with_exo.npz,128.1075439453125,Delta (1–4 Hz),0.00045588843709030497,0.00019780459461664162,14,183,768
posture6_with_exo.npz,128.1075439453125,Theta (4–8 Hz),0.0007380972182395604,0.00031032643958474093,14,183,768
posture6_with_exo.npz,128.1075439453125,Alpha (8–13 Hz),0.00033324479788185744,0.00014028942321303258,14,183,768
posture6_with_exo.npz,128.1075439453125,Beta (13–30 Hz),0.0002540583236366165,0.0001295326047796189,14,183,768
posture6_with_exo.npz,128.1075439453125,Gamma (30–45 Hz),9.388585429857688e-05,5.292461252983201e-05,14,183,768
posture7_no_exo.npz,128.0840606689453,Delta (1–4 Hz),0.0004463095595681887,0.0002997411322003377,14,181,768
posture7_no_exo.npz,128.0840606689453,Theta (4–8 Hz),0.0007081296021747892,0.00044092358023364663,14,181,768
posture7_no_exo.npz,128.0840606689453,Alpha (8–13 Hz),0.00014148009956792114,5.992537887307971e-05,14,181,768
posture7_no_exo.npz,128.0840606689453,Beta (13–30 Hz),0.00012780220463725118,5.898975306618762e-05,14,181,768
posture7_no_exo.npz,128.0840606689453,Gamma (30–45 Hz),5.1837538311632715e-05,3.25645665158783e-05,14,181,768
posture7_with_exo.npz,128.08212280273438,Delta (1–4 Hz),0.0005218891949606927,0.00036448195388824,14,186,768
posture7_with_exo.npz,128.08212280273438,Theta (4–8 Hz),0.0008195124728794334,0.0005671127742103104,14,186,768
posture7_with_exo.npz,128.08212280273438,Alpha (8–13 Hz),0.00021748966807705948,0.00010895755433989337,14,186,768
posture7_with_exo.npz,128.08212280273438,Beta (13–30 Hz),0.0002374337912953595,0.00011680632495776,14,186,768
posture7_with_exo.npz,128.08212280273438,Gamma (30–45 Hz),0.00011465036125071113,7.225682515458925e-05,14,186,768
posture8_no_exo.npz,128.08209228515625,Delta (1–4 Hz),0.0015237008686331463,0.0006982048436539954,14,50,768
posture8_no_exo.npz,128.08209228515625,Theta (4–8 Hz),0.002159381300472617,0.0009180019311426967,14,50,768
posture8_no_exo.npz,128.08209228515625,Alpha (8–13 Hz),0.0005467379113798757,0.00023817696797297986,14,50,768
posture8_no_exo.npz,128.08209228515625,Beta (13–30 Hz),0.0004565892347709607,0.00023181486781330565,14,50,768
posture8_no_exo.npz,128.08209228515625,Gamma (30–45 Hz),0.00015139145410033775,9.730124666494331e-05,14,50,768
posture8_with_exo.npz,128.08993530273438,Delta (1–4 Hz),0.0010500345198210445,0.0004315791817823102,14,39,768
posture8_with_exo.npz,128.08993530273438,Theta (4–8 Hz),0.0016123149846019541,0.0006302080444912513,14,39,768
posture8_with_exo.npz,128.08993530273438,Alpha (8–13 Hz),0.0004681758844009074,0.00015860872493410325,14,39,768
posture8_with_exo.npz,128.08993530273438,Beta (13–30 Hz),0.0004298878956201084,0.00027886906968730834,14,39,768
posture8_with_exo.npz,128.08993530273438,Gamma (30–45 Hz),0.0001700498210800373,0.00013778104875558555,14,39,768
posture9_no_exo.npz,127.96707153320312,Delta (1–4 Hz),0.0007475196133568368,0.0003707064337653686,14,123,768
posture9_no_exo.npz,127.96707153320312,Theta (4–8 Hz),0.0017814074654817584,0.0010439686410566285,14,123,768
posture9_no_exo.npz,127.96707153320312,Alpha (8–13 Hz),0.0002328724744185837,0.00012315151593541492,14,123,768
posture9_no_exo.npz,127.96707153320312,Beta (13–30 Hz),0.00017533670995466656,0.00010717577688103997,14,123,768
posture9_no_exo.npz,127.96707153320312,Gamma (30–45 Hz),4.873222234551288e-05,3.8406022474097654e-05,14,123,768
posture9_with_exo.npz,128.06651306152344,Delta (1–4 Hz),0.0014386721576178294,0.00048645955372943157,14,120,768
posture9_with_exo.npz,128.06651306152344,Theta (4–8 Hz),0.001769144115847424,0.000754961330850473,14,120,768
posture9_with_exo.npz,128.06651306152344,Alpha (8–13 Hz),0.0003686216987806277,0.00014279002469723493,14,120,768
posture9_with_exo.npz,128.06651306152344,Beta (13–30 Hz),0.00023086680828232254,0.00010348242369057471,14,120,768
posture9_with_exo.npz,128.06651306152344,Gamma (30–45 Hz),7.4389834651109e-05,4.5212494722548016e-05,14,120,768
