epoch,g_loss,d_loss,d_g_real_acc,d_g_fake_acc,d_l_real_acc,d_l_fake_acc,acgan_real_global,acgan_fake_global,acgan_real_local,acgan_fake_local
1,55.15882873535156,10.608417510986328,0.6727430555555556,0.3307291666666667,0.10677083333333333,0.9001736111111112,0.09114583333333333,0.10850694444444445,0.09722222222222222,0.1032986111111111
2,48.09821319580078,10.585042953491211,0.6692708333333334,0.3307291666666667,0.11197916666666667,0.8880208333333334,0.09722222222222222,0.10416666666666667,0.10416666666666667,0.10416666666666667
3,39.28889465332031,10.587120056152344,0.6553819444444444,0.3446180555555556,0.1032986111111111,0.8967013888888888,0.11197916666666667,0.1154513888888889,0.1154513888888889,0.1154513888888889
4,36.193260192871094,10.584366798400879,0.6614583333333334,0.3385416666666667,0.09722222222222222,0.9027777777777778,0.1189236111111111,0.12586805555555555,0.12586805555555555,0.12586805555555555
5,29.390539169311523,10.596559524536133,0.6605902777777778,0.3394097222222222,0.1076388888888889,0.8923611111111112,0.11024305555555555,0.11458333333333333,0.11371527777777778,0.11458333333333333
6,nan,nan,0.6762152777777778,0.0,0.1189236111111111,0.0,0.10503472222222222,0.09722222222222222,0.10677083333333333,0.09722222222222222
7,nan,nan,0.6840277777777778,0.0,0.11979166666666667,0.0,0.1015625,0.11631944444444445,0.10503472222222222,0.11631944444444445
8,nan,nan,0.6848958333333334,0.0,0.1171875,0.0,0.0954861111111111,0.1032986111111111,0.09722222222222222,0.1032986111111111
9,nan,nan,0.6553819444444444,0.0,0.10503472222222222,0.0,0.0954861111111111,0.10677083333333333,0.10069444444444445,0.10677083333333333
10,nan,nan,0.6545138888888888,0.0,0.09809027777777778,0.0,0.12239583333333333,0.1076388888888889,0.12586805555555555,0.1076388888888889
11,nan,nan,0.6736111111111112,0.0,0.10850694444444445,0.0,0.09809027777777778,0.10243055555555555,0.10590277777777778,0.10243055555555555
12,nan,nan,0.6779513888888888,0.0,0.11197916666666667,0.0,0.10069444444444445,0.109375,0.10590277777777778,0.109375
13,nan,nan,0.6614583333333334,0.0,0.1171875,0.0,0.0998263888888889,0.11197916666666667,0.1032986111111111,0.11197916666666667
14,nan,nan,0.671875,0.0,0.10850694444444445,0.0,0.11805555555555555,0.10677083333333333,0.11979166666666667,0.10677083333333333
15,nan,nan,0.6458333333333334,0.0,0.1189236111111111,0.0,0.1032986111111111,0.12065972222222222,0.10677083333333333,0.12065972222222222
16,nan,nan,0.6779513888888888,0.0,0.1189236111111111,0.0,0.09809027777777778,0.10069444444444445,0.09895833333333333,0.10069444444444445
17,nan,nan,0.6701388888888888,0.0,0.09635416666666667,0.0,0.1154513888888889,0.09375,0.1232638888888889,0.09375
18,nan,nan,0.6649305555555556,0.0,0.1189236111111111,0.0,0.10503472222222222,0.11631944444444445,0.10590277777777778,0.11631944444444445
19,nan,nan,0.6727430555555556,0.0,0.12152777777777778,0.0,0.09288194444444445,0.12586805555555555,0.0998263888888889,0.12586805555555555
20,nan,nan,0.6822916666666666,0.0,0.10069444444444445,0.0,0.1076388888888889,0.1032986111111111,0.11371527777777778,0.1032986111111111
21,nan,nan,0.6710069444444444,0.0,0.1111111111111111,0.0,0.09722222222222222,0.12239583333333333,0.1015625,0.12239583333333333
22,nan,nan,0.6527777777777778,0.0,0.10069444444444445,0.0,0.1111111111111111,0.11024305555555555,0.11458333333333333,0.11024305555555555
23,nan,nan,0.6788194444444444,0.0,0.09809027777777778,0.0,0.1076388888888889,0.09809027777777778,0.1076388888888889,0.09809027777777778
24,nan,nan,0.6571180555555556,0.0,0.10850694444444445,0.0,0.1015625,0.11979166666666667,0.11024305555555555,0.11979166666666667
25,nan,nan,0.671875,0.0,0.12152777777777778,0.0,0.09722222222222222,0.11197916666666667,0.1015625,0.11197916666666667
26,nan,nan,0.6623263888888888,0.0,0.09288194444444445,0.0,0.10069444444444445,0.109375,0.10243055555555555,0.109375
27,nan,nan,0.6736111111111112,0.0,0.10416666666666667,0.0,0.09461805555555555,0.13020833333333334,0.09635416666666667,0.13020833333333334
28,nan,nan,0.6631944444444444,0.0,0.10850694444444445,0.0,0.10850694444444445,0.1310763888888889,0.1111111111111111,0.1310763888888889
29,nan,nan,0.6796875,0.0,0.10503472222222222,0.0,0.10416666666666667,0.1015625,0.109375,0.1015625
30,nan,nan,0.6623263888888888,0.0,0.1232638888888889,0.0,0.1111111111111111,0.11371527777777778,0.1154513888888889,0.11371527777777778
31,nan,nan,0.6657986111111112,0.0,0.09461805555555555,0.0,0.11631944444444445,0.12152777777777778,0.12239583333333333,0.12152777777777778
