index,timestamp,latency__desc,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
1874,1754690036.075927,14.503747940063477,89.0,0.0,32.14057362279306,4.629477083527725,-37.82851544396447,-18.423353077183883,-7.526894767229969,-5.267864308304915,-5.8879311643981325,-6.173215032689932,-0.517704093390357,14.908749347379915,5.93147009024171,-3.130225960850275,10.415993385864176,21.359738233576003,3550.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,1754690036.08373,14.511550903320312,90.0,0.0,36.42815651848365,5.301728077668081,-36.46318419429248,-4.430938674858346,-0.1941970050110129,-7.108063391424714,-1.1868395091077062,-4.459026561354342,-4.632556109232503,9.185378351868955,3.554452167023207,-3.939520576450725,5.354342082090845,21.1704896523311,3598.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,1754690036.091433,14.519253969192505,91.0,0.0,38.19565415265651,6.513602240466348,-42.736765918564295,1.675392214052856,10.186616266564664,1.8275988305754185,3.136835328621139,-8.26950339377914,-16.53856585265772,-7.162292783778419,2.3165098830218014,-1.998099463090519,-6.309546249868625,10.224097121380495,3551.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,1754690036.099236,14.52705693244934,92.0,0.0,29.912264100792687,4.2343234054626935,-14.60216204844421,7.2167162321731455,14.411099388808612,2.236858107576542,-1.115445852458218,-6.979852926945408,-11.3249241572076,-0.0123014570229527,6.521661896747607,-2.885807306197033,-3.600227314231584,-5.379061479877055,3572.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.2848359644412994,0.06134033203125,-0.8006591796875,0.52349853515625,0.0839856564998626,-1.1836118698120115,-0.4604562520980835,-31.10399055480957,-150.28610229492188,-8.075074195861816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,1754690036.106939,14.534759998321531,93.0,0.0,18.097371114472423,-1.3238051990298914,-0.6159881824970057,11.327835172465656,11.923934864565751,-5.068543675404101,-6.5745394954606695,4.489812463554188,1.756802970476201e-05,0.9892687605033076,4.372651454253344,-5.520218665985851,-2.843413189409546,-16.9508682467106,3550.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,1754690036.114742,14.54256296157837,94.0,0.0,15.298131723079983,-3.9487132462539662,0.0280523099134697,20.10210190552092,18.635375460302008,2.862368266149211,-2.030699947540292,8.984887608523728,-3.120967816912448,-17.363137046765736,-0.1661340602362671,-2.6087931136434364,-14.573670218217764,-22.58408057587972,3598.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,1754690036.122445,14.550266027450562,95.0,0.0,12.409376982174834,-4.859825310573385,3.549560768172867,25.76719649844661,17.87977415451458,7.7393836520758015,1.14516237343544,-0.7204745835719422,-5.082857597353197,-22.83128634259303,-0.0836922484638051,-1.6872570537217797,-20.16154393871749,-25.276483358312586,3551.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,1754690036.130248,14.558068990707396,96.0,0.0,7.454024625269938,-9.720041217799746,2.9058626921122936,23.718503268534675,3.654399803455533,6.624646537426031,0.6998258465466165,-3.4463977646610715,8.713442373580108,-7.943982911849673,0.680919664728151,-3.1752738677578805,-12.382816750521386,-21.7675669597385,3572.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.4012903869152069,-0.5040283203125,0.62469482421875,-0.44122314453125,0.1113298237323761,-1.065445899963379,-0.4638742804527282,-30.35629844665528,-149.83749389648438,-7.327382087707519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,1754690036.1379511,14.56577205657959,97.0,0.0,7.69823922086011,-7.319473401791747,8.385413452908729,32.55680300842318,0.302657534705709,6.635780510638092,-3.9176333295943593,-7.84610649391589,6.268635271514263,-0.6984182689630458,-1.5977076215204349,-2.6431731228136,-4.350140973966624,-10.654658085187124,3550.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,1754690036.145754,14.573575019836426,98.0,0.0,13.89718195866748,3.2821102262746464,18.55472875157624,45.9749782449287,1.0816645856725629,1.6166153890549069,-7.762722179518057,-14.793807565706636,-5.198276256759762,-0.2487900015614812,-4.62418881569193,2.6630453104262344,-2.3192452839493924,-1.451211410225547,3598.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
