index,timestamp,latency__desc,originaltimestamp,eeg.counter,eeg.interpolated,eeg.af3,eeg.f7,eeg.f3,eeg.fc5,eeg.t7,eeg.p7,eeg.o1,eeg.o2,eeg.p8,eeg.t8,eeg.fc6,eeg.f4,eeg.f8,eeg.af4,eeg.rawcq,eeg.battery,cq.af3,cq.f7,cq.f3,cq.fc5,cq.t7,cq.p7,cq.o1,cq.o2,cq.p8,cq.t8,cq.fc6,cq.f4,cq.f8,cq.af4,cq.overall,mot.q0,mot.q1,mot.q2,mot.q3,mot.accx,mot.accy,mot.accz,mot.magx,mot.magy,mot.magz,sq.overallsensorquality,sq.af3.signalquality,sq.af3.rms,sq.f7.signalquality,sq.f7.rms,sq.f3.signalquality,sq.f3.rms,sq.fc5.signalquality,sq.fc5.rms,sq.t7.signalquality,sq.t7.rms,sq.p7.signalquality,sq.p7.rms,sq.o1.signalquality,sq.o1.rms,sq.o2.signalquality,sq.o2.rms,sq.p8.signalquality,sq.p8.rms,sq.t8.signalquality,sq.t8.rms,sq.fc6.signalquality,sq.fc6.rms,sq.f4.signalquality,sq.f4.rms,sq.f8.signalquality,sq.f8.rms,sq.af4.signalquality,sq.af4.rms
11632,1754688153.706906,90.74103212356567,1754688153.7291172,2.0,0.0,9.627243972782187,5.463577178904352,14.21938061437725,5.175157147272721,20.179445426401426,1.1379301526130163,-3.362435327868532,-15.89961039206282,-19.43900260264196,-12.703966824024526,-7.671523540934181,0.0604941213328444,-7.485193991236379,6.681994259916159,3362.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11633,1754688153.714709,90.74883508682252,1754688153.73692,3.0,0.0,7.509333296358104,1.3448627941590665,12.858121974817744,-0.4675705532343137,19.550527707000267,6.101630501945291,2.009509785217088,-8.847371140955634,-8.777223316284537,-9.404678183970224,-9.634130153177214,2.0912195030680003,-8.971339095909602,6.54494242608504,3565.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11634,1754688153.722512,90.75663805007936,1754688153.744624,4.0,0.0,0.6729551033716454,-4.525127433752164,-0.259823604012741,-8.495273182655797,11.239617706249032,2.4052923236595056,5.076119114078676,-2.2942376631446457,5.904522667722755,-2.2062493638140275,-12.129230350466162,2.3069740687436244,-8.414410324502274,3.900216568948803,3594.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.2385036051273346,0.5494384765625,-0.31011962890625,0.73828125,0.8925917744636536,-0.4047913253307342,0.1796902418136596,-50.39444732666016,-130.6965789794922,-3.1403067111968994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11635,1754688153.730315,90.76444101333618,1754688153.752427,5.0,0.0,-3.885200333437446,-9.525396603339836,-9.050962622544525,-9.809058702726963,6.6354077242757725,-1.7354439816944949,3.419934677468653,7.002061961803143,14.815016316539946,7.411929752676791,-7.491515884748004,3.662003774641185,-4.172633962231465,3.5674479857257992,3570.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11636,1754688153.738118,90.77224397659302,1754688153.7601311,6.0,0.0,0.7708246048841794,-6.767371963152076,-4.227345285735286,-5.1756490086572775,10.459534570354176,-0.0529469489646636,-0.1410457817727355,2.846572291456365,3.278950190052964,2.8875656556457976,-6.351980536960131,3.0920244731436206,-7.079955252024096,4.702599291879661,3572.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11637,1754688153.745921,90.78004693984984,1754688153.767934,7.0,0.0,9.260965577638228,0.443466130240278,1.7485480838390792,-2.1827316351095654,13.678766415821524,3.079047444274959,0.640358101108756,-2.8367109106744586,-7.25241739702658,-5.475957752643797,-8.628778594299252,4.583980538964749,-8.846124713436087,4.649671870190115,3553.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11638,1754688153.753724,90.78785014152528,1754688153.775638,8.0,0.0,9.35316559000096,-0.6078949435937595,-1.767389325256385,-5.620602534848853,10.280065423371514,2.6277642329778423,-1.565360770322922,0.3857646831763084,0.1723571824515382,-4.58163739365143,-8.410378857745524,8.313672265199376,-4.48672604385531,5.241484984422687,3559.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,0.240097165107727,0.54864501953125,-0.31072998046875,0.73809814453125,0.8930800557136536,-0.4140688180923462,0.1713893413543701,-50.99259948730469,-131.59381103515625,-1.943999409675598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11639,1754688153.761527,90.7956531047821,1754688153.783441,9.0,0.0,4.503906200144005,-7.484348526229265,-1.925957608759969,-11.649449653708183,9.606132826953717,3.278842438137733,-2.535241809861585,-0.4081341641203799,4.287975444282726,-1.1463678008709586,-6.135869817676333,5.826897280501502,-6.055022698951571,6.252340794417595,3602.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11640,1754688153.76933,90.80345606803894,1754688153.791145,10.0,0.0,4.2346551707324025,-6.51997625398959,8.039740398418907,-14.739993142029526,14.319477057406123,7.630677070786113,3.0411651949144485,-2.1833893701974247,0.3113905726859585,-1.587322284846458,-5.62107807710597,1.4283558890254326,-11.80405813509352,0.3762229047916108,3595.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11641,1754688153.777133,90.81125903129578,1754688153.798948,11.0,0.0,5.375291433500351,-2.5359019667277067,11.263087706929,-19.02368502457433,9.07638840069832,6.843065594786125,2.889972515617714,-0.7806759186560299,-1.1062752775188898,-0.1380429826671303,-9.0420066456236,0.9713120872911388,-11.10015087150454,-4.675679890839447,3563.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
