step,phase,loss_D,acc_D,loss_G,loss_adv,loss_sup,loss_rec,loss_cov,loss_acf
1,GAN,0.7342953085899353,0.2109375,0.721733033657074,0.6816825866699219,0.001358337583951652,0.21978946030139923,0.00147879624273628,0.14813636243343353
2,GAN,0.7575872540473938,0.015625,0.725291907787323,0.6249159574508667,0.001104843569919467,0.6301433444023132,0.001475951517932117,0.12478013336658478
3,GAN,0.7776516675949097,0.0,0.6266231536865234,0.5822169184684753,0.0009304266422986984,0.25948408246040344,0.0010457520838826895,0.13305042684078217
4,GAN,0.7973198890686035,0.0234375,0.6011555194854736,0.5348831415176392,0.0008048362215049565,0.4074038565158844,0.00121209560893476,0.13554802536964417
5,GAN,0.8246212005615234,0.0703125,0.5551815629005432,0.5012433528900146,0.0007227255846373737,0.32419130206108093,0.0021527614444494247,0.1538356989622116
6,GAN,0.8470142483711243,0.009615384973585606,0.5090891718864441,0.464423269033432,0.000656371470540762,0.264684796333313,0.0014377322513610125,0.14754416048526764
7,GAN,0.8632949590682983,0.0625,0.4681355655193329,0.4257170259952545,0.0005968989571556449,0.24933624267578125,0.0022015708964318037,0.15806688368320465
8,GAN,0.898407518863678,0.0703125,0.44188016653060913,0.3931218981742859,0.0005367239355109632,0.2908731997013092,0.0013727828627452254,0.1737973690032959
9,GAN,0.9259810447692871,0.10576923191547394,0.40859389305114746,0.3621766269207001,0.00047622169950045645,0.2738902270793915,0.001697545638307929,0.19270695745944977
10,GAN,0.9514979124069214,0.078125,0.38335034251213074,0.339376837015152,0.00042659288737922907,0.2568280100822449,0.0020014429464936256,0.20547394454479218
11,GAN,0.9776557087898254,0.1328125,0.35960590839385986,0.31628990173339844,0.0003806130844168365,0.25494781136512756,0.0017725497018545866,0.1939420998096466
12,GAN,0.9963899850845337,0.125,0.34952911734580994,0.30364561080932617,0.00034840693115256727,0.2719869613647461,0.0017763415817171335,0.1993470937013626
13,GAN,1.0080862045288086,0.203125,0.332664430141449,0.29378020763397217,0.0003250112640671432,0.2248128056526184,0.002138752955943346,0.206154465675354
14,GAN,1.0177654027938843,0.234375,0.32807669043540955,0.28374093770980835,0.0003134148719254881,0.2629697322845459,0.0016475185984745622,0.19503264129161835
15,GAN,1.0123988389968872,0.16346155107021332,0.326918363571167,0.2846628725528717,0.0003098601009696722,0.2510228455066681,0.0016245681326836348,0.1811871975660324
16,GAN,1.0289469957351685,0.2265625,0.3185011148452759,0.27637314796447754,0.00031698771636001766,0.24971595406532288,0.0017326513770967722,0.18338161706924438
17,GAN,1.0227291584014893,0.234375,0.31722474098205566,0.2755926251411438,0.0003250409208703786,0.24920465052127838,0.0018738789949566126,0.16100364923477173
18,GAN,1.0212544202804565,0.25961539149284363,0.31849053502082825,0.2773355543613434,0.00034033850533887744,0.2483246624469757,0.0015446351608261466,0.14194606244564056
19,GAN,1.0110852718353271,0.34375,0.3199782073497772,0.28097841143608093,0.00035363470669835806,0.23577018082141876,0.0013688472099602222,0.1266155242919922
20,GAN,1.0128374099731445,0.2890625,0.32874831557273865,0.2861263155937195,0.00036353032919578254,0.2577815055847168,0.0019041402265429497,0.1403522491455078
21,GAN,1.006357192993164,0.3076923191547394,0.33573055267333984,0.2943607568740845,0.00038153858622536063,0.2488476186990738,0.001508756773546338,0.14263811707496643
22,GAN,0.989900529384613,0.3359375,0.33775821328163147,0.29926198720932007,0.00039999373257160187,0.22959065437316895,0.0012174061266705394,0.1410553902387619
23,GAN,0.9873101115226746,0.3671875,0.3513341248035431,0.3077755570411682,0.00041322511970065534,0.26379701495170593,0.0016843621851876378,0.13493898510932922
24,GAN,0.96336430311203,0.38461539149284363,0.3614054024219513,0.3182643949985504,0.00043029378866776824,0.26170259714126587,0.0018707342678681016,0.12693126499652863
25,GAN,0.9622899889945984,0.3671875,0.3658718466758728,0.32280999422073364,0.0004479818162508309,0.25951817631721497,0.0015332282055169344,0.13720959424972534
26,GAN,0.9508504867553711,0.40625,0.3646891117095947,0.326752245426178,0.0004640274855773896,0.22662606835365295,0.0016037111636251211,0.1251378208398819
27,GAN,0.9435751438140869,0.4711538553237915,0.3746734857559204,0.3336515426635742,0.0004782047763001174,0.2443985939025879,0.0016190330497920513,0.14394864439964294
28,GAN,0.9399538040161133,0.4140625,0.37888920307159424,0.338432639837265,0.000494730076752603,0.24116353690624237,0.0017837767954915762,0.13721626996994019
29,GAN,0.9380744099617004,0.453125,0.38515812158584595,0.3441658914089203,0.0005196256097406149,0.24526134133338928,0.0015415630768984556,0.1298956423997879
30,GAN,0.9276899099349976,0.442307710647583,0.38438117504119873,0.3467138409614563,0.0005445802817121148,0.2217886745929718,0.0016577739734202623,0.13577836751937866
31,GAN,0.9181876182556152,0.4609375,0.38922879099845886,0.34848278760910034,0.000563628098461777,0.24267180263996124,0.0016212130431085825,0.1302860528230667
32,GAN,0.9203234910964966,0.4921875,0.3942263126373291,0.3547669053077698,0.0005860988749191165,0.23194903135299683,0.0017833182355389,0.14276206493377686
33,GAN,0.9079991579055786,0.48076924681663513,0.40628325939178467,0.3655535876750946,0.0006029336946085095,0.24169552326202393,0.0017674976261332631,0.1306762993335724
34,GAN,0.8980153799057007,0.5,0.4082428812980652,0.3710838854312897,0.0006256993510760367,0.21777482330799103,0.0015529285883530974,0.1284545212984085
35,GAN,0.8880478739738464,0.5,0.42253169417381287,0.3791830539703369,0.0006404317682608962,0.2596958875656128,0.001801572972908616,0.12094554305076599
36,GAN,0.8824192881584167,0.48076924681663513,0.4295397698879242,0.38774600625038147,0.0006423041340894997,0.2458256483078003,0.001975127961486578,0.1466880738735199
37,GAN,0.869164228439331,0.5,0.4396195113658905,0.39773744344711304,0.0006525721400976181,0.2479792982339859,0.0019786113407462835,0.13340407609939575
38,GAN,0.8539329171180725,0.5,0.45261290669441223,0.41271716356277466,0.0006510202074423432,0.23363351821899414,0.0017060521058738232,0.142323836684227
39,GAN,0.8445410132408142,0.5,0.4614354968070984,0.4208502471446991,0.0006515230052173138,0.24137185513973236,0.0017047817818820477,0.11868986487388611
40,GAN,0.8345322012901306,0.5,0.4724566638469696,0.4343869090080261,0.0006533304112963378,0.2231084406375885,0.001965978881344199,0.12922638654708862
41,GAN,0.8237539529800415,0.5,0.4933948516845703,0.450708270072937,0.0006556462030857801,0.2519076466560364,0.001722105429507792,0.1440897285938263
42,GAN,0.8152807354927063,0.5,0.5049347281455994,0.464383065700531,0.0006462683668360114,0.2405758798122406,0.0018993146950379014,0.12347391992807388
43,GAN,0.805465817451477,0.5,0.5215563774108887,0.4801780581474304,0.0006401753053069115,0.24431222677230835,0.0019214128842577338,0.1376664936542511
44,GAN,0.7902790904045105,0.5,0.5319647789001465,0.49344658851623535,0.000628068286459893,0.22604314982891083,0.0017825945978984237,0.13370226323604584
45,GAN,0.7746842503547668,0.5,0.5499083399772644,0.509978711605072,0.0006231801817193627,0.23706188797950745,0.0020830349531024694,0.12191429734230042
46,GAN,0.7652211785316467,0.5,0.5589648485183716,0.5212121605873108,0.0006221974617801607,0.22273677587509155,0.0018332985928282142,0.1210290938615799
47,GAN,0.7536291480064392,0.5,0.5797889828681946,0.5375464558601379,0.000606392277404666,0.2506023049354553,0.0020143575966358185,0.13862711191177368
48,GAN,0.7428141236305237,0.5,0.5929980874061584,0.5534491539001465,0.0006001365836709738,0.23389703035354614,0.0019896214362233877,0.13021524250507355
49,GAN,0.7327273488044739,0.5,0.6104593276977539,0.5723932981491089,0.0005976347019895911,0.22372815012931824,0.0021175832953304052,0.13251765072345734
50,GAN,0.7220972776412964,0.5,0.63070148229599,0.5885649919509888,0.0005749219562858343,0.251531183719635,0.0021858541294932365,0.13082268834114075
51,GAN,0.7114622592926025,0.5,0.6403412222862244,0.604191243648529,0.0005532105569727719,0.2130880206823349,0.0018225056119263172,0.12362382560968399
52,GAN,0.6996964812278748,0.5,0.666201651096344,0.6252855062484741,0.0005646971985697746,0.24481186270713806,0.001985302660614252,0.12203788757324219
53,GAN,0.690376877784729,0.5,0.6804232001304626,0.640909731388092,0.0005511317285709083,0.2331978678703308,0.002400812692940235,0.14041951298713684
54,GAN,0.6868863701820374,0.5,0.6901059150695801,0.6542565226554871,0.0005462018889375031,0.20944266021251678,0.001747701782733202,0.13709519803524017
55,GAN,0.6777549386024475,0.5,0.7131006717681885,0.6712005734443665,0.0005487792659550905,0.25040048360824585,0.0021663254592567682,0.13143445551395416
56,GAN,0.6662880182266235,0.5,0.725760817527771,0.6896388530731201,0.000530654564499855,0.21168789267539978,0.0021590592805296183,0.13560152053833008
57,GAN,0.6586969494819641,0.5096153849735856,0.7424054145812988,0.7026488780975342,0.0005509189795702696,0.23717787861824036,0.001844736048951745,0.12358640879392624
58,GAN,0.5902674794197083,0.5859375,0.7544723153114319,0.7172479629516602,0.0005646830541081727,0.21916347742080688,0.0025458193849772215,0.12897400557994843
59,GAN,0.30145975947380066,0.6875,0.7739554643630981,0.7356993556022644,0.000570721342228353,0.22800570726394653,0.0018403592985123396,0.11439719796180725
60,GAN,0.12731245160102844,0.875,0.7825230956077576,0.7416596412658691,0.0005950655904598534,0.24280838668346405,0.0019475060980767012,0.12992961704730988
61,GAN,0.12591785192489624,0.953125,0.7883989810943604,0.7494525909423828,0.0005966115859337151,0.23125752806663513,0.0024686434771865606,0.11969173699617386
62,GAN,0.12563811242580414,0.9453125,0.7966914772987366,0.7568649649620056,0.0005996038089506328,0.2355014979839325,0.0019770003855228424,0.13215814530849457
63,GAN,0.12400446087121964,0.9903846383094788,0.8013442158699036,0.764106035232544,0.000619550992269069,0.2190101146697998,0.0018630479462444782,0.1236051544547081
64,GAN,0.12297996133565903,1.0,0.8159800171852112,0.7768458127975464,0.0006007945048622787,0.23322410881519318,0.0022208960726857185,0.11407644301652908
65,GAN,0.12262202799320221,1.0,0.8221390843391418,0.7860157489776611,0.0005846932181157172,0.21327055990695953,0.00196470832452178,0.11598484218120575
66,GAN,0.12120063602924347,1.0,0.845061719417572,0.8036889433860779,0.0005732496501877904,0.24745391309261322,0.0021207069512456656,0.12356679141521454
67,GAN,0.1194232627749443,1.0,0.8575302958488464,0.8191497921943665,0.0005723937065340579,0.22929489612579346,0.0018473319942131639,0.11068137735128403
68,GAN,0.11856614798307419,1.0,0.8761066198348999,0.8385582566261292,0.0005467113805934787,0.22305560111999512,0.0021114712581038475,0.11932586878538132
69,GAN,0.11701320856809616,1.0,0.8942274451255798,0.8547837734222412,0.0005564162856899202,0.23580409586429596,0.0025581358931958675,0.11635485291481018
70,GAN,0.11617737263441086,1.0,0.9045022130012512,0.8681465983390808,0.0005335321766324341,0.21649079024791718,0.0020090702455490828,0.11105537414550781
