Channel,t_stat_real (RN vs RW),p_val_real (RN vs RW),t_stat_synth (SN vs SW),p_val_synth (SN vs SW),SN_scale_display,SW_scale_display
eeg.af3,-3.9824178365589757,0.00015667891738232087,-14.778208203322782,4.006219075371862e-25,0.2962050579512231,0.15380947352168942
eeg.f7,-4.64958417630702,1.3547157160408525e-05,-12.336593150278087,1.1691882894241005e-18,0.2962050579512231,0.15380947352168942
eeg.f3,1.254612178947195,0.21206005647094045,-16.665957916196675,9.687193710859257e-30,0.2962050579512231,0.15380947352168942
eeg.fc5,1.9878900829043258,0.04945891183930079,-17.232263193499545,5.617123936905633e-32,0.2962050579512231,0.15380947352168942
eeg.t7,-0.19321796607810487,0.8471312430543028,-5.034975865110081,1.8515986694539107e-06,0.2962050579512231,0.15380947352168942
eeg.p7,-1.1630422424204776,0.2470896593855525,-9.925120631311342,7.224602364505841e-16,0.2962050579512231,0.15380947352168942
eeg.o1,-1.6662679396209807,0.09833561424041318,-19.807692676202805,2.2069442107106064e-31,0.2962050579512231,0.15380947352168942
eeg.o2,-0.4008816104091896,0.6893342457870153,-27.912345233298776,1.2261983343306953e-37,0.2962050579512231,0.15380947352168942
eeg.p8,-2.0753356277316555,0.040121032256021656,-16.079339216813676,9.676586637036388e-27,0.2962050579512231,0.15380947352168942
eeg.t8,-1.4204586566182822,0.15821487460684003,-8.67150895244953,6.886883477214062e-14,0.2962050579512231,0.15380947352168942
eeg.fc6,1.057415531425099,0.2925212797583071,-7.270272810331285,4.106670489724139e-11,0.2962050579512231,0.15380947352168942
eeg.f4,-0.3635630413534003,0.7168572669673468,-18.75535888326683,1.7107416419388198e-32,0.2962050579512231,0.15380947352168942
eeg.f8,-2.1835444408508318,0.03205926569390866,-21.853923241971295,3.422137716053794e-33,0.2962050579512231,0.15380947352168942
eeg.af4,-4.687738103269832,1.2220845402437679e-05,-6.372956507749128,6.381963645901976e-09,0.2962050579512231,0.15380947352168942
