Channel,t_stat_real (RN vs RW),p_val_real (RN vs RW),t_stat_synth (SN vs SW),p_val_synth (SN vs SW),SN_scale_display,SW_scale_display
eeg.af3,-1.3417426419680074,0.18100893745553598,-29.402499416379925,8.111579823094053e-65,0.15598248629586103,0.06381211161656151
eeg.f7,2.080146829770532,0.03890767993076444,-22.557881758044953,2.492094878232741e-60,0.15598248629586103,0.06381211161656151
eeg.f3,-1.9475200086825146,0.05266000670937718,-17.45416366031348,7.001447136574024e-44,0.15598248629586103,0.06381211161656151
eeg.fc5,-2.7789158861126397,0.005890188053646369,-69.36648507076382,2.789390648047164e-107,0.15598248629586103,0.06381211161656151
eeg.t7,1.9353209061515424,0.05457541587594734,-33.72378147387002,4.1492032136745425e-66,0.15598248629586103,0.06381211161656151
eeg.p7,-6.823412276160985,1.9642417812119812e-10,-42.44982269182892,5.06152853471784e-74,0.15598248629586103,0.06381211161656151
eeg.o1,0.6571861267240647,0.5117293027099249,-16.333482910523514,2.635599753592329e-40,0.15598248629586103,0.06381211161656151
eeg.o2,2.1116363579154362,0.03599789371382775,-4.581502019218917,7.85860700604078e-06,0.15598248629586103,0.06381211161656151
eeg.p8,-0.05590843173642461,0.955471971909534,-51.73627442468082,2.3454144027481263e-93,0.15598248629586103,0.06381211161656151
eeg.t8,-0.7034558468843637,0.48245308226123407,-12.211425354491611,3.86111991221707e-26,0.15598248629586103,0.06381211161656151
eeg.fc6,3.4541659980929937,0.0006555561859507013,-36.224010561024514,1.3157442014181323e-68,0.15598248629586103,0.06381211161656151
eeg.f4,6.486944370620209,7.465858585723204e-10,-37.580076054229025,5.029063826296841e-86,0.15598248629586103,0.06381211161656151
eeg.f8,-1.4426894697536632,0.15042873464000361,-37.39591750109949,1.6982519148808315e-69,0.15598248629586103,0.06381211161656151
eeg.af4,2.6004196823248336,0.009936053719994389,-25.978219572640402,3.635748345249362e-71,0.15598248629586103,0.06381211161656151
