Channel,t_stat_real (RN vs RW),p_val_real (RN vs RW),t_stat_synth (SN vs SW),p_val_synth (SN vs SW),SN_scale_display,SW_scale_display
eeg.af3,-2.911627877537089,0.005773218290835499,-12.342066672663357,4.538775985599949e-18,0.07381130211302626,0.14943943434837173
eeg.f7,-2.716631022035426,0.009175375883645583,0.2720095581132196,0.786262398529101,0.07381130211302626,0.14943943434837173
eeg.f3,2.317807055639283,0.02280677542176274,16.75473996558816,1.1196411314130018e-25,0.07381130211302626,0.14943943434837173
eeg.fc5,2.0563429581907315,0.043124676106019305,19.161655062572066,2.973228638197044e-26,0.07381130211302626,0.14943943434837173
eeg.t7,-1.5873337418290625,0.11653461818623173,28.388334541047115,2.102621449938505e-32,0.07381130211302626,0.14943943434837173
eeg.p7,-2.4006167395539864,0.01982170776076158,28.672097766101874,5.071582222069852e-34,0.07381130211302626,0.14943943434837173
eeg.o1,-2.9948367098795274,0.003993548279368486,-9.398809153523874,1.167291241644788e-14,0.07381130211302626,0.14943943434837173
eeg.o2,1.5847072910826856,0.11717874577398703,10.244432913322736,6.544371926228709e-15,0.07381130211302626,0.14943943434837173
eeg.p8,-2.1027022507430035,0.03969958429398456,18.22510276971604,2.1867648721843644e-24,0.07381130211302626,0.14943943434837173
eeg.t8,-0.5291372224813138,0.5980578880768002,18.85252578779486,5.505404384639619e-25,0.07381130211302626,0.14943943434837173
eeg.fc6,-0.20315445255536646,0.8395374402602572,13.837585989699834,4.4143435596330073e-23,0.07381130211302626,0.14943943434837173
eeg.f4,1.0992245479161091,0.27498069420383153,33.12125503149273,2.6724360235256856e-38,0.07381130211302626,0.14943943434837173
eeg.f8,-0.13991816455686376,0.8892509246875712,19.065786508079114,1.866922966955215e-26,0.07381130211302626,0.14943943434837173
eeg.af4,-0.5735789618063223,0.5687368066931648,26.811671450155963,1.532968087743919e-32,0.07381130211302626,0.14943943434837173
