Channel,t_stat_real (RN vs RW),p_val_real (RN vs RW),t_stat_synth (SN vs SW),p_val_synth (SN vs SW),SN_scale_display,SW_scale_display
eeg.af3,-3.7235953646191784,0.0002427847060700173,-77.71899360102469,6.913659726152337e-219,0.19730571052169035,0.11037610429536351
eeg.f7,-4.197515618569473,3.60238948498306e-05,-16.41087019173687,1.0431762718044796e-40,0.19730571052169035,0.11037610429536351
eeg.f3,2.793946585697647,0.005536135739659073,-109.49634968457651,5.089687479611717e-243,0.19730571052169035,0.11037610429536351
eeg.fc5,3.9593930442257737,9.442585414750104e-05,4.328432350758696,2.1996595294345645e-05,0.19730571052169035,0.11037610429536351
eeg.t7,-0.4319905573406032,0.6660077043213462,-6.541182068806786,3.349002560112566e-10,0.19730571052169035,0.11037610429536351
eeg.p7,-0.2077590795187186,0.8355401064150705,-32.24195292586235,7.815623551057808e-91,0.19730571052169035,0.11037610429536351
eeg.o1,-3.4159493110614756,0.0007158100039341954,12.87956173033849,1.6498016844442933e-27,0.19730571052169035,0.11037610429536351
eeg.o2,-1.2919464063751176,0.19722978160324162,14.687859970009434,2.116579726152737e-33,0.19730571052169035,0.11037610429536351
eeg.p8,-2.7082953452413143,0.007128862624717293,-78.08502672359496,2.705057353413611e-220,0.19730571052169035,0.11037610429536351
eeg.t8,-2.5058144923155856,0.012698676379721486,1.8011534125954842,0.0729928423024944,0.19730571052169035,0.11037610429536351
eeg.fc6,-0.5640220258545491,0.5730954569378337,-46.323997563405236,1.3749865145975466e-130,0.19730571052169035,0.11037610429536351
eeg.f4,4.399452312307016,1.5267832421775134e-05,-125.2487504211341,9.693093439733653e-244,0.19730571052169035,0.11037610429536351
eeg.f8,-1.2407872648761031,0.2156350754015509,-83.34833000169874,3.496721978541189e-231,0.19730571052169035,0.11037610429536351
eeg.af4,0.4507937284783183,0.6524155348775476,-53.771641713639546,7.315511274589085e-144,0.19730571052169035,0.11037610429536351
