Channel,t_stat_real (RN vs RW),p_val_real (RN vs RW),t_stat_synth (SN vs SW),p_val_synth (SN vs SW),SN_scale_display,SW_scale_display
eeg.af3,1.4930574882231777,0.14123930283556052,-50.203764933169495,8.384499455140898e-46,0.46664191305805236,0.007800646247950871
eeg.f7,-4.064977273359359,0.000158808737603054,-48.69042198977705,1.0370860165004923e-36,0.46664191305805236,0.007800646247950871
eeg.f3,3.110339742285649,0.004177710896021742,-32.5127105324154,6.655836224403745e-35,0.46664191305805236,0.007800646247950871
eeg.fc5,2.665788804517649,0.010237128844177578,-54.092825458598455,1.3919876946654815e-38,0.46664191305805236,0.007800646247950871
eeg.t7,-1.8309288397539987,0.0735544881252484,-37.53581102689957,2.7314449529527133e-32,0.46664191305805236,0.007800646247950871
eeg.p7,-1.283369003663182,0.2048145286035437,-43.310439701927166,1.3160702465810688e-34,0.46664191305805236,0.007800646247950871
eeg.o1,-0.504917358904742,0.6154050271236289,-60.47335883303114,1.9373124630612295e-40,0.46664191305805236,0.007800646247950871
eeg.o2,2.308727519648849,0.027983268196664222,-41.27088394220854,7.252736256746696e-34,0.46664191305805236,0.007800646247950871
eeg.p8,-0.3491161160302373,0.7283888597551542,-33.0576587410656,3.593533184897339e-30,0.46664191305805236,0.007800646247950871
eeg.t8,-1.0437188296595274,0.30062415685377,-33.6238689926133,1.9730511309109208e-30,0.46664191305805236,0.007800646247950871
eeg.fc6,2.321370126119614,0.025449010611721775,-42.7957093032014,2.0227005974618338e-34,0.46664191305805236,0.007800646247950871
eeg.f4,0.899251266598245,0.37397275891468595,-56.32328058699718,4.5289179863086084e-39,0.46664191305805236,0.007800646247950871
eeg.f8,-4.062732468655668,0.00016523475294858003,-26.895119260701446,8.594538928844154e-27,0.46664191305805236,0.007800646247950871
eeg.af4,-2.8000061395352254,0.007344819411246481,-40.33013371914568,1.6807928627182956e-33,0.46664191305805236,0.007800646247950871
