Channel,t_stat_real (RN vs RW),p_val_real (RN vs RW),t_stat_synth (SN vs SW),p_val_synth (SN vs SW),SN_scale_display,SW_scale_display
eeg.af3,-5.65179296268869,4.9571698932994495e-08,-36.685386069353896,5.399183370274177e-89,0.10737324069987338,0.03692563904523928
eeg.f7,-4.705216961576104,3.832548678226913e-06,-36.09349965073785,8.706212497782274e-87,0.10737324069987338,0.03692563904523928
eeg.f3,-1.6483875543088038,0.10015754671062638,-38.80980112543051,1.085076417037683e-90,0.10737324069987338,0.03692563904523928
eeg.fc5,1.366397753622719,0.17281717663629034,-40.1202908090599,4.9207565935814774e-95,0.10737324069987338,0.03692563904523928
eeg.t7,-5.302482992375946,2.255022176347586e-07,-26.023117577418173,2.3648553178539518e-71,0.10737324069987338,0.03692563904523928
eeg.p7,-4.143561539047579,4.327800193345015e-05,-30.467921374565186,1.491996806003098e-80,0.10737324069987338,0.03692563904523928
eeg.o1,-4.95230662168359,1.1933622013148886e-06,-44.39938179920249,2.002883270230327e-100,0.10737324069987338,0.03692563904523928
eeg.o2,-1.2501845660591544,0.2120872134519174,-30.174257905424064,7.68963709996291e-77,0.10737324069987338,0.03692563904523928
eeg.p8,-3.3812034826536483,0.0008132785450851845,-39.44570934245993,9.589521233510277e-93,0.10737324069987338,0.03692563904523928
eeg.t8,-1.4186462077672541,0.1569568427870955,-8.972474482440354,2.093909551482632e-17,0.10737324069987338,0.03692563904523928
eeg.fc6,-4.209121538007289,3.2769201066411524e-05,-31.219800646519634,4.943134383138527e-80,0.10737324069987338,0.03692563904523928
eeg.f4,-2.3788969361948036,0.017885779057206782,-41.536670156302606,2.2723286779967198e-95,0.10737324069987338,0.03692563904523928
eeg.f8,-2.2906201489910227,0.022817752381486135,-31.20290627779049,4.016887003234388e-81,0.10737324069987338,0.03692563904523928
eeg.af4,-4.38716520367688,1.8145050811412966e-05,-33.467291180575685,1.1396149272407071e-82,0.10737324069987338,0.03692563904523928
