step,phase,loss_D,acc_D,loss_G,loss_adv,loss_sup,loss_rec,loss_cov,loss_acf
21,GAN,1.0442878007888794,0.3999999761581421,0.2980715334415436,0.26315033435821533,0.00034084718208760023,0.20083436369895935,0.002228268189355731,0.1853322833776474
22,GAN,1.025133728981018,0.4296875,0.30286380648612976,0.26735684275627136,0.00036096686380915344,0.20648205280303955,0.00225686258636415,0.16920198500156403
23,GAN,1.0240494012832642,0.4296875,0.3099399209022522,0.27455154061317444,0.000379607459763065,0.20983083546161652,0.0022440608590841293,0.13538074493408203
24,GAN,1.00046968460083,0.45454543828964233,0.317436546087265,0.2817126512527466,0.00039989344077184796,0.21162571012973785,0.002279533538967371,0.1355975717306137
25,GAN,0.997123658657074,0.4765625,0.3234695792198181,0.28815481066703796,0.00042099313577637076,0.21020962297916412,0.0023129077162593603,0.12254656106233597
26,GAN,0.9800878167152405,0.4609375,0.3335110545158386,0.2963108420372009,0.0004421374760568142,0.22195062041282654,0.002210925566032529,0.1257433295249939
27,GAN,0.9705514311790466,0.48181816935539246,0.3421994745731354,0.3068836033344269,0.0004609785682987422,0.20844537019729614,0.002319356892257929,0.12982642650604248
28,GAN,0.9580187797546387,0.5,0.34966936707496643,0.31637904047966003,0.00047745852498337626,0.19544336199760437,0.0022934903390705585,0.1236303448677063
29,GAN,0.9486888647079468,0.484375,0.3621761202812195,0.32769250869750977,0.0004978564684279263,0.20426638424396515,0.0023129854816943407,0.11403512209653854
30,GAN,0.9317461252212524,0.4999999701976776,0.374983012676239,0.33804449439048767,0.0005129326018504798,0.2196229100227356,0.0023169643245637417,0.11934033036231995
31,GAN,0.9169784188270569,0.484375,0.3814736604690552,0.3478434979915619,0.0005275629227980971,0.19723600149154663,0.0024476326070725918,0.11943262070417404
32,GAN,0.9108692407608032,0.5,0.39967066049575806,0.36180150508880615,0.0005380530492402613,0.22547250986099243,0.002283796202391386,0.11828066408634186
33,GAN,0.8931440114974976,0.4999999701976776,0.4104807376861572,0.3764638602733612,0.0005449560121633112,0.19988389313220978,0.0024440637789666653,0.11630435287952423
34,GAN,0.878187894821167,0.5,0.4300525486469269,0.39368823170661926,0.0005500414990819991,0.21718496084213257,0.002474637469276786,0.10310976952314377
35,GAN,0.8628143072128296,0.4921875,0.44349271059036255,0.409151554107666,0.0005526613676920533,0.19982637465000153,0.002560270018875599,0.1316208690404892
