step,phase,loss_D,acc_D,loss_G,loss_adv,loss_sup,loss_rec,loss_cov,loss_acf
1,GAN,0.724309504032135,0.3046875,0.7462335228919983,0.7028923630714417,0.0011738778557628393,0.25056955218315125,0.0008268664823845029,0.11046432703733444
2,GAN,0.7474304437637329,0.03125,0.7299644351005554,0.6423051357269287,0.0010042574722319841,0.5495947003364563,0.0010370585368946195,0.10881078988313675
3,GAN,0.7724085450172424,0.01923076994717121,0.6393892168998718,0.5910636186599731,0.0008726942469365895,0.2896524965763092,0.0006223543896339834,0.11204972118139267
4,GAN,0.7983540892601013,0.0234375,0.5904751420021057,0.5351817607879639,0.0007624112186022103,0.33727720379829407,0.0007189248572103679,0.11965133994817734
5,GAN,0.829374372959137,0.0625,0.5424889922142029,0.49408358335494995,0.000671405519824475,0.2900811731815338,0.0011234533740207553,0.14226828515529633
6,GAN,0.8561566472053528,0.01923076994717121,0.49854570627212524,0.45082592964172363,0.0005855057388544083,0.2863675057888031,0.0009108810336329043,0.14904046058654785
7,GAN,0.8765593767166138,0.0859375,0.4545176029205322,0.41165629029273987,0.0005138597916811705,0.25336670875549316,0.0012122042244300246,0.16391940414905548
8,GAN,0.914622962474823,0.0859375,0.42674902081489563,0.3778972625732422,0.00045067915925756097,0.29525113105773926,0.0008827779092825949,0.15927718579769135
9,GAN,0.9413920640945435,0.08653846383094788,0.39238113164901733,0.3488691449165344,0.000399816723074764,0.2581886649131775,0.0010207757586613297,0.17768053710460663
10,GAN,0.9659033417701721,0.0546875,0.3753817081451416,0.32822513580322266,0.0003621560463216156,0.28388479351997375,0.001283824909478426,0.1724434196949005
11,GAN,0.9882592558860779,0.1171875,0.3533947169780731,0.3105279207229614,0.00033535121474415064,0.2564958930015564,0.0012309137964621186,0.16747106611728668
12,GAN,1.0042105913162231,0.09615384787321091,0.3434053063392639,0.3004922866821289,0.000317205413011834,0.25787198543548584,0.0012498430442065,0.1621561050415039
13,GAN,1.0156546831130981,0.15625,0.33006349205970764,0.2900211215019226,0.0003055660054087639,0.23921124637126923,0.0014616908738389611,0.16000768542289734
14,GAN,1.0243712663650513,0.171875,0.32441216707229614,0.2813217043876648,0.0003030100779142231,0.26117512583732605,0.00137926428578794,0.1481887549161911
15,GAN,1.0199463367462158,0.125,0.3228510618209839,0.28102317452430725,0.00030935576069168746,0.2529822587966919,0.0014731277478858829,0.1454136073589325
16,GAN,1.031873345375061,0.15625,0.32244569063186646,0.27645665407180786,0.0003203924570698291,0.28333669900894165,0.0014823388773947954,0.12414485216140747
17,GAN,1.023645043373108,0.1484375,0.318594366312027,0.27704906463623047,0.0003296473005320877,0.2534320056438446,0.001672255340963602,0.12457016855478287
18,GAN,1.0218287706375122,0.20192308723926544,0.32366588711738586,0.27965685725212097,0.00034662155667319894,0.2732200622558594,0.0014767276588827372,0.09709097445011139
19,GAN,1.0106662511825562,0.25,0.32158491015434265,0.28359970450401306,0.00036420582910068333,0.23249851167201996,0.0015043610474094748,0.09863471984863281
20,GAN,1.0161762237548828,0.1953125,0.33128616213798523,0.2870268225669861,0.00037659035297110677,0.27298879623413086,0.001710561104118824,0.10649556666612625
21,GAN,1.0110496282577515,0.21153846383094788,0.33315345644950867,0.29405149817466736,0.00039708378608338535,0.23478305339813232,0.0017083389684557915,0.1320994347333908
22,GAN,0.9989669919013977,0.2421875,0.33949846029281616,0.29703599214553833,0.000417416071286425,0.25872448086738586,0.0015760634560137987,0.11771363765001297
23,GAN,0.9961082339286804,0.2265625,0.34373316168785095,0.30412226915359497,0.00043332111090421677,0.23921743035316467,0.0017816846957430243,0.11874207109212875
24,GAN,0.9749385714530945,0.25961539149284363,0.3560965359210968,0.3130125403404236,0.0004560522211249918,0.26193565130233765,0.001984118251129985,0.11829826235771179
25,GAN,0.9755374789237976,0.2734375,0.3579815924167633,0.31698572635650635,0.0004759395378641784,0.24625012278556824,0.0018139076419174671,0.1288047581911087
26,GAN,0.9617521166801453,0.3046875,0.3672603666782379,0.3233789801597595,0.0004972767201252282,0.26693329215049744,0.0018835760420188308,0.11465243250131607
27,GAN,0.9491589069366455,0.2788461744785309,0.3752051293849945,0.3357369005680084,0.0005113265360705554,0.23765547573566437,0.001781973522156477,0.11162301898002625
28,GAN,0.937812089920044,0.2578125,0.391391396522522,0.3470298647880554,0.0005286055966280401,0.2691922187805176,0.0019191205501556396,0.11696567386388779
29,GAN,0.9259894490242004,0.3359375,0.40209412574768066,0.3626101016998291,0.0005506107117980719,0.235085129737854,0.0019222754053771496,0.12558795511722565
30,GAN,0.9062523245811462,0.32692310214042664,0.41737404465675354,0.3762815296649933,0.0005734037840738893,0.24751675128936768,0.0019559217616915703,0.10930497199296951
31,GAN,0.8890435695648193,0.3515625,0.4312892556190491,0.3893325924873352,0.0005873609334230423,0.2518305480480194,0.001983115915209055,0.11802521347999573
32,GAN,0.8797577023506165,0.3984375,0.4487212598323822,0.4078599214553833,0.0006060964078642428,0.24560220539569855,0.0019923353102058172,0.10714653879404068
33,GAN,0.859385073184967,0.36538463830947876,0.47137650847435,0.4295119345188141,0.0006195470923557878,0.250230997800827,0.002090027090162039,0.12042849510908127
34,GAN,0.8435259461402893,0.4375,0.4901057183742523,0.4482576847076416,0.0006396755343303084,0.25125885009765625,0.0019878472667187452,0.10902770608663559
35,GAN,0.8272923231124878,0.40625,0.5085911750793457,0.4676317572593689,0.0006578513421118259,0.2430155873298645,0.002053550910204649,0.12359744310379028
36,GAN,0.8152109384536743,0.442307710647583,0.5264261364936829,0.48747050762176514,0.0006636309553869069,0.23232761025428772,0.0021084919571876526,0.1026170402765274
37,GAN,0.7976707816123962,0.4453125,0.5487765073776245,0.5086888074874878,0.0006814479711465538,0.23940426111221313,0.002070430666208267,0.10352931916713715
38,GAN,0.776600182056427,0.4765625,0.5746361017227173,0.5351241827011108,0.0006912450771778822,0.23494285345077515,0.0019829492084681988,0.10686331987380981
39,GAN,0.7659537196159363,0.48076924681663513,0.5947335958480835,0.5522645711898804,0.0007090045255608857,0.2530064582824707,0.001965669449418783,0.11660321801900864
40,GAN,0.7507073283195496,0.5,0.6154327392578125,0.5757100582122803,0.0007211031042970717,0.2371102273464203,0.001983637921512127,0.0966702327132225
41,GAN,0.7395082116127014,0.4921875,0.6448243260383606,0.602422297000885,0.000745349854696542,0.2521185874938965,0.001984075177460909,0.11443106830120087
42,GAN,0.7278962731361389,0.5,0.6644644737243652,0.6236265897750854,0.0007513092714361846,0.24209704995155334,0.002030628267675638,0.11042378097772598
43,GAN,0.7185006141662598,0.5,0.6856452226638794,0.64342200756073,0.0007726902840659022,0.25031083822250366,0.002025495283305645,0.11488740146160126
44,GAN,0.7063395380973816,0.5,0.7006482481956482,0.6608706116676331,0.0007869128603488207,0.23454013466835022,0.0019497856264933944,0.10886862128973007
45,GAN,0.6939277052879333,0.5,0.721951961517334,0.6813188791275024,0.0008058992098085582,0.23933541774749756,0.0020475066266953945,0.11268183588981628
46,GAN,0.6864150762557983,0.515625,0.7302217483520508,0.6895444989204407,0.0008216378046199679,0.23939652740955353,0.001976316561922431,0.11217812448740005
47,GAN,0.6793438196182251,0.5390625,0.7517727017402649,0.7099002599716187,0.0008415877819061279,0.24461694061756134,0.0020241073798388243,0.12972162663936615
48,GAN,0.4403703510761261,0.6442307680845261,0.7593626976013184,0.7204198837280273,0.0008495475049130619,0.22781428694725037,0.0019382537575438619,0.10819532722234726
49,GAN,0.13294097781181335,0.75,0.7705880403518677,0.730027437210083,0.0008692817064002156,0.2375338077545166,0.001907872036099434,0.11327517032623291
50,GAN,0.13226400315761566,0.796875,0.7764852643013,0.7356524467468262,0.0008775517344474792,0.23815187811851501,0.0020536663942039013,0.12078692764043808
51,GAN,0.13129198551177979,0.9230769276618958,0.7789571285247803,0.7380266189575195,0.00087040348444134,0.23845309019088745,0.0017410352593287826,0.12495452910661697
52,GAN,0.12994353473186493,0.9453125,0.7886781692504883,0.7480756044387817,0.0008797379559837282,0.23514074087142944,0.0018303218530490994,0.13186635076999664
53,GAN,0.12931296229362488,0.9609375,0.799030601978302,0.7576698064804077,0.0008772650617174804,0.23905980587005615,0.001992485485970974,0.1405114084482193
54,GAN,0.128872811794281,0.9711538553237915,0.7967456579208374,0.7582332491874695,0.0008745119557715952,0.22176358103752136,0.00165729527361691,0.12873052060604095
55,GAN,0.12834590673446655,0.9765625,0.8096632361412048,0.7686222195625305,0.0008813073509372771,0.23874156177043915,0.0018795147771015763,0.12647293508052826
56,GAN,0.12713763117790222,0.9921875,0.8217297196388245,0.7817951440811157,0.000855678750667721,0.230723038315773,0.0017817150801420212,0.13527800142765045
