epoch,g_loss,d_loss,Dg_R,Dg_F,Dl_R,Dl_F,ACg_R,ACg_F,ACl_R,ACl_F
1,24.38347053527832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22.947458267211914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,21.911746978759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20.719263076782227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,19.437725067138672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.78021240234375,5.7268829345703125,1.0,0.0,1.0,0.0,0.40625,0.484375,0.5,0.515625
7,19.854129791259766,5.730010032653809,1.0,0.0,1.0,0.0,0.546875,0.515625,0.5,0.5
8,18.782428741455078,5.722125053405762,1.0,0.0,1.0,0.0,0.53125,0.53125,0.484375,0.484375
9,18.092308044433594,5.7084550857543945,1.0,0.0,1.0,0.0,0.625,0.5625,0.515625,0.484375
10,17.230030059814453,5.697436809539795,1.0,0.0,1.0,0.0,0.703125,0.5,0.59375,0.53125
11,16.57426643371582,5.677579879760742,1.0,0.0,1.0,0.0,0.625,0.53125,0.765625,0.5
12,16.05906867980957,5.665173530578613,1.0,0.015625,1.0,0.0,0.8125,0.515625,0.78125,0.4375
13,15.560460090637207,5.649957180023193,1.0,0.0,1.0,0.0,0.84375,0.515625,0.890625,0.515625
14,14.993955612182617,5.6219801902771,1.0,0.0625,1.0,0.0,0.890625,0.515625,0.953125,0.5
15,14.359628677368164,5.599400520324707,1.0,0.09375,1.0,0.0,0.984375,0.578125,0.921875,0.515625
16,13.746294021606445,5.561927795410156,1.0,0.171875,1.0,0.0,0.96875,0.53125,0.984375,0.5625
17,13.49945068359375,5.5168280601501465,1.0,0.21875,1.0,0.0,1.0,0.484375,1.0,0.5
18,12.872659683227539,5.468203544616699,1.0,0.3125,1.0,0.0,1.0,0.53125,1.0,0.484375
19,12.320355415344238,5.432910442352295,1.0,0.296875,1.0,0.0,1.0,0.5,0.984375,0.53125
20,11.57097339630127,5.341598987579346,1.0,0.375,1.0,0.03125,1.0,0.53125,1.0,0.5
21,11.1625337600708,5.26525354385376,1.0,0.453125,1.0,0.09375,1.0,0.5,1.0,0.5
22,10.59616756439209,5.200625419616699,1.0,0.46875,1.0,0.109375,1.0,0.46875,1.0,0.5
23,9.591529846191406,5.101133823394775,1.0,0.59375,1.0,0.234375,1.0,0.515625,1.0,0.5
24,9.236044883728027,4.993230819702148,1.0,0.703125,1.0,0.28125,1.0,0.5,1.0,0.515625
